dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,forecastability,pred_nrmse_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
lorenz63_rho30.09_s000:1200:800,lorenz63_rho30.09_s000,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 30.08606543890082, 'dt': 0.02}",1200,v1,1,800,15,0.0,False,3.1720657846433043e-18,1.0,0.022542565144698663,-0.7765439303973904,15.0,8.0,,False,0.9999665630028983,-0.013728168082619563,14.017782786347151,True,3.5958364279425603,True,0.9563476343126223,True,0.49033945371374577,0.0017857142857142857,9.098828854633856e-09,0.001,0.32447035904358756,0,1.3261685145897786,True,0.348000829126973,0.5096605462862542,0.11730986778494489,,,,,1.0,0.6783576530374836,0.7497124364133704,0.7233393123084803,0.3783622933412092,0.026373124104890122
lorenz63_rho43.24_s001:1201:800,lorenz63_rho43.24_s001,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 43.24181062790306, 'dt': 0.02}",1201,v1,1,800,14,0.0,False,-1.2688263138573217e-17,1.0000000000000002,0.7048618808982727,-0.29596964551953375,14.0,7.0,,False,0.9999516983735832,-0.037737923109957605,13.421472049004706,True,4.481217165246898,True,0.9439428158796388,True,0.5166953714809689,0.005357142857142857,2.780272964185518e-07,0.001,0.41631222491069725,0,1.2943213944436927,True,0.38040296185221717,0.4833046285190311,0.194386791568703,,,,,1.0,0.8777266570528313,0.9265484228624834,0.8679494136951674,0.5708499182103538,0.058599009167315974
lorenz63_rho23.42_s002:1202:800,lorenz63_rho23.42_s002,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 23.422929111286862, 'dt': 0.02}",1202,v1,1,800,7,0.0,False,1.259310116503392e-15,0.9999999999999999,-0.1328281933702674,-1.4325876210436297,7.0,8.0,,False,0.9999938150608652,-0.016019249136006164,18.43044977005162,True,,False,0.9764233710937884,True,0.15895194332480295,0.02857142857142857,1.247182187013801e-10,0.001,0.95,0,0.9039478572999031,True,0.37918178407636444,0.841048056675197,0.12659160349383783,,,,,1.0,0.0063584897967664915,0.015906687935960197,0.7794033230347192,0.13927442305873247,-0.763496635098759
lorenz63_rho44.69_s003:1203:800,lorenz63_rho44.69_s003,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 44.689700869437885, 'dt': 0.02}",1203,v1,1,800,16,0.0,False,2.5376526277146434e-17,1.0,-0.06391694580741995,-1.0545291645903905,16.0,6.0,,False,0.9999493268063419,-0.014219957003797856,21.109865050646256,True,1.9500437963742927,True,0.8915523865250106,True,0.4858564186542884,0.0017857142857142857,1.0394613193940002e-07,0.001,0.02925921243292586,0,1.2894489663681747,True,0.39177577601350283,0.5141435813457116,0.11945974299928841,,,,,1.0,1.004137991746559,1.0825509323195066,0.7681952763960538,0.48259135859519914,0.3143556559234528
lorenz63_rho30.88_s004:1204:800,lorenz63_rho30.88_s004,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 30.879879368841216, 'dt': 0.02}",1204,v1,1,800,16,0.0,False,-5.075305255429287e-17,0.9999999999999999,-0.5037195661008109,-0.4683355643028295,16.0,8.0,,False,0.9999679764541992,-0.009220056061029713,21.93265795853685,True,1.640221792134211,True,0.7329209564219068,True,0.4686653126051549,0.007142857142857143,8.925037437449303e-09,0.001,0.008305650030791412,0,1.3452349548116793,True,0.3576153958374895,0.531334687394845,0.0961877310618693,,,,,1.0,0.9393460148024471,1.0755911875674724,0.9060295263960897,0.4418361180910279,0.16956166117138272
lorenz63_rho35.53_s005:1205:800,lorenz63_rho35.53_s005,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 35.525727367825844, 'dt': 0.02}",1205,v1,1,800,13,0.0,False,1.2688263138573217e-17,0.9999999999999999,-0.397778351743337,-0.5150356632546531,13.0,8.0,,False,0.9999694203527942,-0.007384465213997715,25.461937084679175,True,2.6774215071747864,True,0.9623405474799829,True,0.5016416790325656,0.0035714285714285713,3.060881793508135e-08,0.001,0.9024966642830241,0,1.346455267003227,True,0.35709519824187547,0.4983583209674344,0.0861106547484311,,,,,1.0,0.7277415226708778,0.9178703522402851,0.8822738489731705,0.3718923588877666,0.03559650326711461
lorenz63_rho40.97_s006:1206:800,lorenz63_rho40.97_s006,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 40.97451871196007, 'dt': 0.02}",1206,v1,1,800,12,0.0,False,5.075305255429287e-17,1.0000000000000002,0.671748525528078,-0.12437299718392891,12.0,7.0,,False,0.9999318105493291,-0.026042946337157202,12.533444638435501,True,3.497001675428764,True,0.9473750182752578,True,0.5162885265773333,0.0035714285714285713,1.7993074425643684e-07,0.001,0.5320455894068394,0,1.2999254113473964,True,0.3722048244453546,0.48371147342266674,0.16158940493679666,,,,,1.0,0.908893263608547,1.1188338248428673,1.655599396484378,0.7599950318729997,-0.5367655716415107
lorenz63_rho27.93_s007:1207:800,lorenz63_rho27.93_s007,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 27.933824047200318, 'dt': 0.02}",1207,v1,1,800,13,0.0,False,2.5376526277146434e-17,1.0,-0.36778025283092175,-0.22263728994297116,13.0,10.0,,False,0.9999792622733268,-0.010314707249495236,15.439257552537109,True,,False,0.8281745725165571,True,0.4870936439695776,0.010714285714285714,1.214640504375088e-08,0.001,0.8839804987178738,0,1.3946411614231238,True,0.3311246023134994,0.5129063560304223,0.10166339054039314,,,,,1.0,0.6175743708216241,1.0307353092036966,0.8015609226661821,0.26487792020591266,0.22917438653751454
lorenz63_rho28.87_s008:1208:800,lorenz63_rho28.87_s008,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 28.870036758512754, 'dt': 0.02}",1208,v1,1,800,12,0.0,False,5.075305255429287e-17,1.0,0.7654331201140104,0.7456012722476792,12.0,9.0,,False,0.9999582533372081,-0.017083922815902985,16.694378101966027,True,1.3942578003057355,True,0.8887033879234232,True,0.4887945171584377,0.010714285714285714,5.869698438609036e-09,0.001,0.6913045588727713,0,1.314326888203129,True,0.34857639676281293,0.5112054828415623,0.13086508120463197,,,,,1.0,0.5695920827817111,0.9318023453202312,0.5959821735584607,0.43961477936778093,0.3358201717617705
lorenz63_rho24.81_s009:1209:800,lorenz63_rho24.81_s009,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 24.81108038214929, 'dt': 0.02}",1209,v1,1,800,14,0.0,False,-6.344131569286608e-17,1.0,0.04522554769540771,-0.34029203442062483,14.0,17.0,,False,0.9999789129852626,-0.008467113789562553,17.609061827811214,True,2.0309056267027956,True,0.9409177214562645,True,0.4585605621110527,0.008928571428571428,2.5488745101522944e-09,0.001,0.9052006402332083,0,1.3989325707156612,True,0.31725029754605305,0.5414394378889473,0.09213143222755117,,,,,1.0,0.8366464377078519,1.4597262553318249,0.9295805255013735,0.37407228594780273,0.5301457298304514
