source_index,name,family,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_J1,nrmse_qrc_J0,advantage_J1_vs_esn,advantage_J0_vs_esn,paired_delta_J0_minus_J1,paired_effect_J1_better,feature_dim,n_qubits,depth,virtual_nodes,matched_qrc_seeds
58,rossler_c7.08_s018,chaotic_flow,forecast,1318,800,21,0.0477677140044605,0.07363604135653773,0.8664162318090628,-0.025868327352077232,-0.8186485178046023,0.7927801904525251,0.7927801904525251,60,6,5,5,0
59,rossler_c4.43_s019,chaotic_flow,forecast,1319,800,21,0.0216865609673505,0.02135384717993655,1.009712842716783,0.0003327137874139484,-0.9880262817494325,0.9883589955368464,0.9883589955368464,60,6,5,5,0
60,logistic_r3.7811_s000,chaotic_map,forecast,1400,800,2,0.0230899110580826,0.6795405337924482,0.891479178420473,-0.6564506227343656,-0.8683892673623904,0.2119386446280248,0.2119386446280248,60,6,5,5,0
61,logistic_r3.7298_s001,chaotic_map,forecast,1401,800,4,0.6452461061966432,0.892438946373339,0.9716851225180435,-0.24719284017669574,-0.32643901632140027,0.07924617614470453,0.07924617614470453,60,6,5,5,0
62,logistic_r3.9605_s002,chaotic_map,forecast,1402,800,1,2.7707202996424232e-11,1.654788902097555e-07,0.9983681207206512,-1.6545118300675908e-07,-0.998368120692944,0.9983679552417609,0.9983679552417609,60,6,5,5,0
63,logistic_r3.9984_s003,chaotic_map,forecast,1403,800,1,0.0081446009254096,0.2662597126482462,0.9981224335102459,-0.25811511172283663,-0.9899778325848363,0.7318627208619997,0.7318627208619997,60,6,5,5,0
64,logistic_r3.8279_s004,chaotic_map,forecast,1404,800,2,0.0608518775090336,0.7775595367461953,1.0905756503276398,-0.7167076592371616,-1.0297237728186062,0.31301611358144454,0.31301611358144454,60,6,5,5,0
65,logistic_r3.9325_s005,chaotic_map,forecast,1405,800,1,0.0030953310003351,0.2353338053143959,0.9144071342241379,-0.2322384743140608,-0.9113118032238028,0.6790733289097419,0.6790733289097419,60,6,5,5,0
66,logistic_r3.8640_s006,chaotic_map,forecast,1406,800,2,0.0503083940407395,0.5826231554048937,1.0088295929931057,-0.5323147613641542,-0.9585211989523662,0.426206437588212,0.426206437588212,60,6,5,5,0
67,logistic_r3.6165_s007,chaotic_map,forecast,1407,800,186,0.3519667847178763,0.35200087153742043,0.42591934928208836,-3.40868195441435e-05,-0.07395256456421206,0.07391847774466792,0.07391847774466792,60,6,5,5,0
68,logistic_r3.6226_s008,chaotic_map,forecast,1408,800,186,0.3914152919998375,0.3978106690511899,0.4285773673795586,-0.006395377051352402,-0.037162075379721105,0.030766698328368702,0.030766698328368702,60,6,5,5,0
69,logistic_r3.6491_s009,chaotic_map,forecast,1409,800,186,0.551832172013281,0.4579791380884326,0.6564573168059095,0.09385303392484845,-0.10462514479262841,0.19847817871747686,0.19847817871747686,60,6,5,5,0
70,logistic_r3.9420_s010,chaotic_map,forecast,1410,800,1,0.0036672118577932,0.24397208415974178,0.9206449644722595,-0.24030487230194858,-0.9169777526144663,0.6766728803125177,0.6766728803125177,60,6,5,5,0
71,logistic_r3.7705_s011,chaotic_map,forecast,1411,800,3,0.4013590167567923,0.9072518023990386,0.951244564707043,-0.5058927856422463,-0.5498855479502507,0.04399276230800442,0.04399276230800442,60,6,5,5,0
72,logistic_r3.6714_s012,chaotic_map,forecast,1412,800,186,0.5418747694845498,0.6003723233930082,0.6037605319721715,-0.058497553908458344,-0.061885762487621676,0.003388208579163332,0.003388208579163332,60,6,5,5,0
73,logistic_r3.7042_s013,chaotic_map,forecast,1413,800,4,0.5602240547485012,0.7981665727757242,0.9686444623704258,-0.237942518027223,-0.40842040762192455,0.17047788959470156,0.17047788959470156,60,6,5,5,0
74,logistic_r3.8803_s014,chaotic_map,forecast,1414,800,2,0.0693432558620315,0.6612298636114147,0.9213256632159679,-0.5918866077493832,-0.8519824073539364,0.2600957996045532,0.2600957996045532,60,6,5,5,0
75,logistic_r3.8526_s015,chaotic_map,forecast,1415,800,148,0.0429586214166499,0.04388588109086326,0.8607050760635815,-0.0009272596742133654,-0.8177464546469316,0.8168191949727183,0.8168191949727183,60,6,5,5,0
76,logistic_r3.7406_s016,chaotic_map,forecast,1416,800,2,1.9137843038138046e-10,6.434355495870411e-07,0.9659715135569408,-6.432441711566598e-07,-0.9659715133655623,0.9659708701213912,0.9659708701213912,60,6,5,5,0
77,logistic_r3.9014_s017,chaotic_map,forecast,1417,800,2,0.1002840287754513,0.8338855670698974,1.0196319017962123,-0.7336015382944461,-0.919347873020761,0.18574633472631497,0.18574633472631497,60,6,5,5,0
78,logistic_r3.6964_s018,chaotic_map,forecast,1418,800,7,0.8362939069398124,0.900881427831647,0.9572109847786039,-0.06458752089183462,-0.12091707783879146,0.05632955694695685,0.05632955694695685,60,6,5,5,0
79,logistic_r3.8078_s019,chaotic_map,forecast,1419,800,2,0.0359401512322389,0.7066983638665807,0.920244813989082,-0.6707582126343418,-0.884304662756843,0.21354645012250129,0.21354645012250129,60,6,5,5,0
80,henon_a1.124_s000,chaotic_map,forecast,1500,800,186,0.5147913725865174,0.5329333494551237,0.5231174316265976,-0.018141976868606302,-0.008326059040080214,-0.009815917828526088,-0.009815917828526088,60,6,5,5,0
81,henon_a1.224_s001,chaotic_map,forecast,1501,800,2,0.0246234391259139,0.5232760455144965,0.8066889418107864,-0.49865260638858255,-0.7820655026848725,0.28341289629628996,0.28341289629628996,60,6,5,5,0
82,henon_a1.010_s002,chaotic_map,forecast,1502,800,186,1.785965157802088e-09,9.761644343127318e-06,0.48315818697313356,-9.759858377969516e-06,-0.4831581851871684,0.48314842532879043,0.48314842532879043,60,6,5,5,0
83,henon_a1.194_s003,chaotic_map,forecast,1503,800,7,0.801207915091434,0.7996321017110826,0.8738442358102003,0.0015758133803513985,-0.07263632071876636,0.07421213409911775,0.07421213409911775,60,6,5,5,0
84,henon_a1.399_s004,chaotic_map,forecast,1504,800,1,0.0029860242101128,0.26372594635562835,0.9007226081364935,-0.26073992214551556,-0.8977365839263807,0.6369966617808651,0.6369966617808651,60,6,5,5,0
85,henon_a1.252_s005,chaotic_map,forecast,1505,800,2,4.170315724275405e-09,2.4206550497850585e-07,0.9735036391676526,-2.3789518925423045e-07,-0.9735036349973368,0.9735033971021476,0.9735033971021476,60,6,5,5,0
86,henon_a1.032_s006,chaotic_map,forecast,1506,800,186,4.5315587772554655e-08,0.0001421224261017213,0.5207395165433958,-0.00014207711051394874,-0.5207394712278081,0.5205973941172941,0.5205973941172941,60,6,5,5,0
87,henon_a1.339_s007,chaotic_map,forecast,1507,800,2,0.0535406255059884,0.708701738683429,0.9548078910779656,-0.6551611131774406,-0.9012672655719772,0.2461061523945366,0.2461061523945366,60,6,5,5,0
88,henon_a1.079_s008,chaotic_map,forecast,1508,800,186,0.1551538892579497,0.16610895249502616,0.5351605685046779,-0.010955063237076457,-0.38000667924672815,0.3690516160096517,0.3690516160096517,60,6,5,5,0
89,henon_a1.360_s009,chaotic_map,forecast,1509,800,1,0.0020730631818439,0.2472505050919551,0.8746107735158994,-0.2451774419101112,-0.8725377103340556,0.6273602684239443,0.6273602684239443,60,6,5,5,0
90,henon_a1.047_s010,chaotic_map,forecast,1510,800,186,2.6351549260684873e-08,0.0001243705210112634,0.5288526418117778,-0.00012434416946200273,-0.5288526154602285,0.5287282712907666,0.5287282712907666,60,6,5,5,0
91,henon_a1.295_s011,chaotic_map,forecast,1511,800,2,0.027031768749933,0.49393658115362565,0.9490956439013757,-0.46690481240369264,-0.9220638751514427,0.45515906274775003,0.45515906274775003,60,6,5,5,0
92,henon_a1.351_s012,chaotic_map,forecast,1512,800,2,0.0609299000387614,0.7456994423874197,0.9649822122183025,-0.6847695423486583,-0.9040523121795411,0.2192827698308828,0.2192827698308828,60,6,5,5,0
93,henon_a1.101_s013,chaotic_map,forecast,1513,800,186,3.97498866140431e-08,0.03377321998991172,0.44008044261151796,-0.03377318024002511,-0.44008040286163136,0.40630722262160623,0.40630722262160623,60,6,5,5,0
94,henon_a1.082_s014,chaotic_map,forecast,1514,800,186,0.1742101781728026,0.18133772519509703,0.5160599298383152,-0.007127547022294428,-0.34184975166551257,0.3347222046432181,0.3347222046432181,60,6,5,5,0
95,henon_a1.163_s015,chaotic_map,forecast,1515,800,11,0.9816321985709192,0.9526827591839377,0.9763746998098071,0.028949439386981468,0.005257498761112145,0.023691940625869323,0.023691940625869323,60,6,5,5,0
96,henon_a1.272_s016,chaotic_map,forecast,1516,800,2,0.0149383847311369,0.2566096756369987,0.9650961456462073,-0.2416712909058618,-0.9501577609150704,0.7084864700092086,0.7084864700092086,60,6,5,5,0
97,henon_a1.150_s017,chaotic_map,forecast,1517,800,186,0.708730080976571,0.6652277539396306,0.8947407048657299,0.04350232703694035,-0.1860106238891589,0.22951295092609925,0.22951295092609925,60,6,5,5,0
98,henon_a1.306_s018,chaotic_map,forecast,1518,800,2,0.0004952429805377,0.00100555329658023,0.9334636856136546,-0.00051031031604253,-0.9329684426331168,0.9324581323170743,0.9324581323170743,60,6,5,5,0
99,henon_a1.219_s019,chaotic_map,forecast,1519,800,4,0.6374839680047698,0.8771723286514786,0.928709368280407,-0.23968836064670884,-0.29122540027563715,0.051537039628928305,0.051537039628928305,60,6,5,5,0
100,narma02_s000,input_driven,input_driven,1600,800,1,0.0670108515805922,0.552394335481005,1.000642975545077,-0.48538348390041286,-0.9336321239644848,0.44824864006407195,0.44824864006407195,60,6,5,5,0
101,narma05_s001,input_driven,input_driven,1601,800,1,0.4858483781505913,0.7825597259770549,1.0104457655342982,-0.29671134782646363,-0.5245973873837069,0.2278860395572433,0.2278860395572433,60,6,5,5,0
102,narma10_s002,input_driven,input_driven,1602,800,1,0.5993881026772042,0.9032814302472503,1.0505728547410509,-0.30389332757004606,-0.4511847520638467,0.14729142449380062,0.14729142449380062,60,6,5,5,0
103,narma15_s003,input_driven,input_driven,1603,800,1,0.6844415645065615,0.876745156504207,1.007301247887855,-0.19230359199764557,-0.32285968338129345,0.13055609138364788,0.13055609138364788,60,6,5,5,0
104,narma20_s004,input_driven,input_driven,1604,800,1,0.7096831978697805,0.8055496883269411,1.0071270786394235,-0.09586649045716056,-0.297443880769643,0.20157739031248245,0.20157739031248245,60,6,5,5,0
105,narma25_s005,input_driven,input_driven,1605,800,1,0.7535133908308739,0.7966724641233476,1.0253766889529083,-0.043159073292473704,-0.27186329812203447,0.22870422482956076,0.22870422482956076,60,6,5,5,0
106,narma30_s006,input_driven,input_driven,1606,800,1,0.7888212600837216,0.7971804776245714,1.0440558396405228,-0.008359217540849895,-0.2552345795568013,0.2468753620159514,0.2468753620159514,60,6,5,5,0
107,narma02_s007,input_driven,input_driven,1607,800,1,0.0695230453020494,0.5797328528128078,0.996662282627212,-0.5102098075107584,-0.9271392373251626,0.4169294298144042,0.4169294298144042,60,6,5,5,0
108,narma05_s008,input_driven,input_driven,1608,800,1,0.5040174263155636,0.7558679228306668,1.0522076715089055,-0.2518504965151033,-0.5481902451933419,0.29633974867823865,0.29633974867823865,60,6,5,5,0
109,narma10_s009,input_driven,input_driven,1609,800,1,0.6598999253253909,0.7777847311508149,1.0276305425945267,-0.11788480582542404,-0.3677306172691358,0.24984581144371176,0.24984581144371176,60,6,5,5,0
110,narma15_s010,input_driven,input_driven,1610,800,1,0.6917801163368772,0.8245130817740033,1.0156029625475105,-0.1327329654371261,-0.3238228462106333,0.1910898807735072,0.1910898807735072,60,6,5,5,0
111,narma20_s011,input_driven,input_driven,1611,800,1,0.7996805658172957,0.8608098006407825,1.024860154465285,-0.061129234823486756,-0.22517958864798915,0.1640503538245024,0.1640503538245024,60,6,5,5,0
