dataset_id,name,family,source,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_spin,qrc_advantage,actual_usefulness_label,predicted_qrc_advantage,predicted_usefulness_label,predicted_prob_qrc_useful,property_pc1,property_pc2,abs_prediction_error,prediction_correct_label
lorenz63_rho39.49_s014_snr10db:9034:800,lorenz63_rho39.49_s014_snr10db,chaotic_flow,synthetic,forecast,9034,800,13,0.8478536195416971,1.020667323514848,-0.1728137039731508,baseline_preferred,-0.05434098971753424,baseline_preferred,0.4089837254543373,-0.4797554754072044,-0.9189947565598832,0.11847271425561656,True
lorenz63_rho26.04_s015_snr20db:9035:800,lorenz63_rho26.04_s015_snr20db,chaotic_flow,synthetic,forecast,9035,800,14,0.918297661824842,0.6936726286894548,0.2246250331353871,qrc_useful,0.014093028763847812,near_tie,0.46189258576526493,-1.0036156735181927,-0.2582792682359951,0.2105320043715393,False
lorenz63_rho32.84_s016_snr5db:9036:800,lorenz63_rho32.84_s016_snr5db,chaotic_flow,synthetic,forecast,9036,800,11,1.0180301184268752,0.9783895086636928,0.0396406097631825,near_tie,-0.0947695152053533,baseline_preferred,0.20869629682255902,-0.08796408773364356,-1.1537123138825156,0.1344101249685358,False
lorenz63_rho34.38_s017_snr10db:9037:800,lorenz63_rho34.38_s017_snr10db,chaotic_flow,synthetic,forecast,9037,800,12,0.8847202862766639,0.8932545120785836,-0.0085342258019197,near_tie,-0.07882036503471143,baseline_preferred,0.16534835102125994,-0.30946694589188284,-0.5203069084512536,0.07028613923279173,False
lorenz63_rho41.93_s018_snr20db:9038:800,lorenz63_rho41.93_s018_snr20db,chaotic_flow,synthetic,forecast,9038,800,12,0.9722937167174972,0.8044934150003228,0.1678003017171744,qrc_useful,-0.07961955849035854,baseline_preferred,0.45297774056762646,-0.8162037279689583,-0.0923729926191902,0.24741986020753293,False
lorenz63_rho22.98_s019_snr5db:9039:800,lorenz63_rho22.98_s019_snr5db,chaotic_flow,synthetic,forecast,9039,800,6,0.7196433270617518,1.0634926209562774,-0.3438492938945255,baseline_preferred,-0.23888357529473817,baseline_preferred,0.05386896721198458,-0.40177533648471475,-0.275395253755525,0.10496571859978734,True
logistic_r3.7811_s000_snr10db:9040:800,logistic_r3.7811_s000_snr10db,chaotic_map,synthetic,forecast,9040,800,2,0.9595791215078932,0.8324630867924369,0.1271160347154564,qrc_useful,0.010017671949443372,near_tie,0.44553970696143513,1.708236197608287,0.5633290734673737,0.11709836276601303,False
logistic_r3.7298_s001_snr20db:9041:800,logistic_r3.7298_s001_snr20db,chaotic_map,synthetic,forecast,9041,800,3,0.8526022133771088,0.6405062835702842,0.2120959298068246,qrc_useful,0.09785578130375482,qrc_useful,0.887750112270941,1.4878124836397184,1.0968898751854372,0.11424014850306978,True
logistic_r3.9605_s002_snr5db:9042:800,logistic_r3.9605_s002_snr5db,chaotic_map,synthetic,forecast,9042,800,1,0.5462263043514973,0.9233412786610368,-0.3771149743095393,baseline_preferred,-0.1391207822430923,baseline_preferred,0.03469225525983888,0.6040776088161733,0.6585499245378706,0.23799419206644698,True
logistic_r3.9984_s003_snr10db:9043:800,logistic_r3.9984_s003_snr10db,chaotic_map,synthetic,forecast,9043,800,1,1.0466867881575983,0.7883576028656942,0.2583291852919043,qrc_useful,0.014586583993003591,near_tie,0.6906375392805503,2.7452446020646692,-0.31554914821817037,0.2437426012989007,False
logistic_r3.8279_s004_snr20db:9044:800,logistic_r3.8279_s004_snr20db,chaotic_map,synthetic,forecast,9044,800,2,0.8781877093152335,0.6592715285619987,0.2189161807532348,qrc_useful,0.05342012208052248,qrc_useful,0.7824892838064974,0.8577486640882073,0.5864398595130276,0.16549605867271233,True
logistic_r3.9325_s005_snr5db:9045:800,logistic_r3.9325_s005_snr5db,chaotic_map,synthetic,forecast,9045,800,1,0.9987171867739189,0.8486688126225864,0.1500483741513323,qrc_useful,0.004034745620625244,near_tie,0.2930174397418545,2.448910419825342,-0.11310282009756192,0.14601362853070704,False
logistic_r3.8640_s006_snr10db:9046:800,logistic_r3.8640_s006_snr10db,chaotic_map,synthetic,forecast,9046,800,2,0.925338955857495,0.8922190072886723,0.0331199485688227,near_tie,0.010017671949443372,near_tie,0.2199771097976881,1.5487197522226497,0.07338781610438022,0.02310227661937933,True
logistic_r3.6165_s007_snr20db:9047:800,logistic_r3.6165_s007_snr20db,chaotic_map,synthetic,forecast,9047,800,186,0.3444128348419848,0.3919557061443249,-0.04754287130234,near_tie,-0.11274125717792467,baseline_preferred,0.01607917050229549,-1.1108563825180806,2.830593705446522,0.06519838587558467,False
logistic_r3.6226_s008_snr5db:9048:800,logistic_r3.6226_s008_snr5db,chaotic_map,synthetic,forecast,9048,800,186,0.6016878538768152,0.7181820996339181,-0.1164942457571028,baseline_preferred,-0.143153720720821,baseline_preferred,0.02578175003082437,-0.2789016531982949,1.2324653501350613,0.026659474963718205,True
logistic_r3.6491_s009_snr10db:9049:800,logistic_r3.6491_s009_snr10db,chaotic_map,synthetic,forecast,9049,800,186,0.5623568813563334,0.7042085430460503,-0.1418516616897168,baseline_preferred,-0.14196259870469666,baseline_preferred,0.02698896324107448,-0.4852396595030135,2.1167597271460483,0.00011093701497985609,True
