split,family,n,mean_best_qrc_advantage,mean_ci_low,mean_ci_high,median_best_qrc_advantage,best_qrc_win_rate,best_qrc_useful_rate,useful_rate_ci_low,useful_rate_ci_high,most_common_best_variant
discovery,heavy_tail_jump,281,-0.0007088736047517191,-0.00624522054955513,0.005113836450490961,-0.0041269314100066,0.4092526690391459,0.0498220640569395,0.02491103202846975,0.07829181494661921,qrc_m
discovery,volatility_heteroskedastic,1291,0.004887187773327513,0.0025084636193847256,0.00781592274291035,-0.0002345694291963,0.4957397366382649,0.044151820294345466,0.033307513555383424,0.054996127033307515,qrc_d
validation,unit_root_trend,353,0.24020302308939076,0.20342368403102834,0.28160639068517007,0.0187964465260115,0.5184135977337111,0.47875354107648727,0.42492917847025496,0.5325779036827195,qrc_m
validation,regime_switching,313,0.054220724172347474,0.03442797329477788,0.07695487366879757,0.0,0.48242811501597443,0.28753993610223644,0.23953674121405752,0.3354632587859425,qrc_m
validation,colored_noise,315,0.05673940001276634,0.03481468698081859,0.08043173926304835,0.0,0.4857142857142857,0.23492063492063492,0.19047619047619047,0.28253968253968254,qrc_d
validation,chaotic_flow,1137,-0.12517961014342693,-0.14914212470972982,-0.1030868234749171,-0.0910243206539762,0.2955145118733509,0.23131046613896217,0.20580474934036938,0.2568381706244503,qrc_m
validation,seasonal_calendar,255,-0.19292174779526136,-0.2429834097559319,-0.14410126023221137,-0.1036435745276361,0.25882352941176473,0.16862745098039217,0.12156862745098039,0.21568627450980393,qrc_m
validation,delay_dynamics,231,-0.2644510084011839,-0.3037727328975062,-0.22510828096308366,-0.2626490208542392,0.15584415584415584,0.12121212121212122,0.08225108225108226,0.16883116883116883,qrc_m
validation,intermittent_sparse,142,0.024248517478958686,0.006057480338344739,0.04799323395769788,0.00088338904560565,0.5352112676056338,0.11267605633802817,0.06338028169014084,0.1619718309859155,qrc_m
validation,chaotic_map,2056,-0.07174661211867916,-0.08213678260082688,-0.0620184793350908,-0.00039087273343189996,0.2850194552529183,0.10603112840466926,0.09337305447470817,0.12062256809338522,qrc_m
validation,multiscale_composite,328,-0.2105977942395034,-0.23882469633188416,-0.17896626006928046,-0.18227032780182156,0.18902439024390244,0.10060975609756098,0.0701219512195122,0.13109756097560976,qrc_m
validation,linear_stochastic,345,0.00010025205423503083,-0.0046581556631822285,0.0050407668385066065,0.0005611648672469,0.5072463768115942,0.08405797101449275,0.057971014492753624,0.11311594202898544,qrc_m
validation,oscillatory_quasiperiodic,746,-0.17514408473370754,-0.1919084853870619,-0.15743703444055876,-0.1558069502483254,0.12734584450402145,0.08042895442359249,0.06166219839142091,0.09919571045576407,qrc_m
validation,input_driven_memory,1409,-0.08470715746298155,-0.09048718083638292,-0.07859317216866588,-0.0730561436348105,0.1710432931156849,0.0667139815471966,0.053229240596167494,0.08090844570617459,qrc_m
validation,long_range,544,0.0015025978709271488,-0.002992141717825546,0.00688267653412107,-0.0054404182462986506,0.40808823529411764,0.0661764705882353,0.04595588235294118,0.08639705882352941,qrc_e
validation,nonlinear_autoregressive,278,-0.00022405451892434325,-0.006480547173606798,0.007544896274839824,-0.0029648807564676,0.4352517985611511,0.06474820143884892,0.03597122302158273,0.09712230215827339,qrc_m
validation,volatility_heteroskedastic,1268,0.009165601166240784,0.005486868251358531,0.013097159182493759,-4.3398641670355786e-05,0.49842271293375395,0.055205047318611984,0.043355678233438485,0.06782334384858044,qrc_d
validation,heavy_tail_jump,280,-0.0016759033377982842,-0.006667875594122998,0.0037241940351095335,-0.00600334230703475,0.37142857142857144,0.04285714285714286,0.02142857142857143,0.06785714285714285,qrc_m
