n_qubits,J,h,dt,depth,virtual_nodes,reupload,amplitude_damping,dephasing,feature_dim,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
8,1.2,1.0,0.25,5,5,False,0.005,0.005,80,1.023579975417971,0.9945735367132196,1.0331504910609792,0.9766593621431012
8,1.5,1.0,0.15,5,5,False,0.0,0.0,80,0.9132295503568462,0.9862333360947204,0.9100923883861892,0.9563501576067474
8,1.5,1.0,0.15,5,5,False,0.0,0.005,80,0.9463636249213616,0.9857925447682504,0.9850358223192016,0.9921061320847024
8,1.5,1.0,0.15,5,5,False,0.005,0.0,80,0.9674394110897476,0.9724648063914167,1.0004504178967626,0.9897705745718914
8,1.5,1.0,0.15,5,5,False,0.005,0.005,80,0.9788771458328794,0.9858051230972296,1.0100278399903309,0.9807935746586848
8,1.5,1.0,0.2,5,5,False,0.0,0.0,80,0.9171067963614912,0.9643989542064738,0.9525036821236104,0.981715816874318
8,1.5,1.0,0.2,5,5,False,0.0,0.005,80,0.973590454285024,0.988375886037187,0.9845037368453337,0.9942831515222256
8,1.5,1.0,0.2,5,5,False,0.005,0.0,80,0.9943106962990528,1.005611291097194,1.032395247368882,1.0016367582333638
8,1.5,1.0,0.2,5,5,False,0.005,0.005,80,0.9945648650322092,1.0103919828725074,1.02871534824291,0.978979547953208
8,1.5,1.0,0.25,5,5,False,0.0,0.0,80,0.9124789940354534,0.972682440547404,0.9558819531387166,0.9783700103631214
8,1.5,1.0,0.25,5,5,False,0.0,0.005,80,0.9602066298231032,0.9810597270314322,0.9919888128465592,0.9724372387822088
8,1.5,1.0,0.25,5,5,False,0.005,0.0,80,0.9688165458678926,0.9816653199272912,0.985021727722816,0.983532180965766
8,1.5,1.0,0.25,5,5,False,0.005,0.005,80,1.0004897243313329,1.0113580215340572,1.0242790410051972,0.9866408500409108
10,0.8,1.0,0.15,5,5,False,0.0,0.0,100,0.9075990447957368,0.9794568153626242,0.9165122335567376,0.9566197164422076
10,0.8,1.0,0.15,5,5,False,0.0,0.005,100,1.026716034858981,1.0341204529041403,0.9809992912625256,0.9886034838387032
10,0.8,1.0,0.15,5,5,False,0.005,0.0,100,0.9903848037013716,0.9924747880843664,0.9679216817550944,0.9817195198690544
10,0.8,1.0,0.15,5,5,False,0.005,0.005,100,1.027366540551601,0.9903002382382252,1.032031714785219,1.0128689475268549
10,0.8,1.0,0.2,5,5,False,0.0,0.0,100,0.931851875093652,0.985990792277344,0.9572296007613008,0.9561563928431336
10,0.8,1.0,0.2,5,5,False,0.0,0.005,100,1.0174481706100127,1.0301673756240486,0.9817071678815602,0.9861303639631168
10,0.8,1.0,0.2,5,5,False,0.005,0.0,100,1.0086996380306104,0.989396277344572,1.0189548762457423,1.0009495609956691
10,0.8,1.0,0.2,5,5,False,0.005,0.005,100,1.048755343443247,1.0094995098040602,1.0501909779811076,1.0125528464503544
10,0.8,1.0,0.25,5,5,False,0.0,0.0,100,1.007498975193685,0.9758020537354588,0.9588484900094534,1.0063409551368236
10,0.8,1.0,0.25,5,5,False,0.0,0.005,100,1.0433641805005038,1.000835063918355,0.9925511087516788,0.9876957213383551
10,0.8,1.0,0.25,5,5,False,0.005,0.0,100,1.0488056682846638,1.0271851173024762,1.024694997530225,0.994455281025196
10,0.8,1.0,0.25,5,5,False,0.005,0.005,100,1.0310130222169518,0.9959604047492764,1.0248178474711422,1.0029578194314697
10,1.0,1.0,0.15,5,5,False,0.0,0.0,100,0.9340960188120038,0.9564481973262268,0.8971809752446427,0.9485162209868876
10,1.0,1.0,0.15,5,5,False,0.0,0.005,100,0.970646336221044,0.9947123983967694,0.9685574436524316,0.997426384059462
10,1.0,1.0,0.15,5,5,False,0.005,0.0,100,1.018512141335678,0.988646583092421,0.9718590962932344,1.0087092472130297
10,1.0,1.0,0.15,5,5,False,0.005,0.005,100,1.015932396298052,0.988817588442744,1.0040839420195316,1.008578341346036
10,1.0,1.0,0.2,5,5,False,0.0,0.0,100,0.978655753479617,1.005483383570892,0.9933230244061072,0.9802218753073092
10,1.0,1.0,0.2,5,5,False,0.0,0.005,100,0.9915042411413166,0.9868889185186108,0.9910218633848374,0.9835092662520964
10,1.0,1.0,0.2,5,5,False,0.005,0.0,100,1.0407790040469218,1.0111903350995528,0.9739262452372436,1.007983724830168
10,1.0,1.0,0.2,5,5,False,0.005,0.005,100,1.0214409325122815,0.9868096174269392,1.023830385175736,0.993586938953516
10,1.0,1.0,0.25,5,5,False,0.0,0.0,100,0.9226120916550716,0.9887175181525302,0.9644938905773996,1.0032285546945543
10,1.0,1.0,0.25,5,5,False,0.0,0.005,100,1.0129495900250352,0.9672621732019372,1.0175317836577022,0.9823021034886746
10,1.0,1.0,0.25,5,5,False,0.005,0.0,100,1.0236149971123631,0.9974903921909232,0.9756972607084172,0.973006248879029
10,1.0,1.0,0.25,5,5,False,0.005,0.005,100,1.016657260689921,0.9992439985492412,1.0376942123389754,1.0002644355681725
10,1.2,1.0,0.15,5,5,False,0.0,0.0,100,0.9158197329635428,0.9720142132420208,0.9142798502376754,0.9627339953709656
10,1.2,1.0,0.15,5,5,False,0.0,0.005,100,0.9817850378820092,1.0113525377887762,0.9557801115255812,0.9932735828239868
10,1.2,1.0,0.15,5,5,False,0.005,0.0,100,1.0082374242456504,1.0007366520030596,0.938977951822928,0.9812403189046852
10,1.2,1.0,0.15,5,5,False,0.005,0.005,100,1.000817484683321,0.9778141782232038,1.024156945813511,0.9862016613218234
10,1.2,1.0,0.2,5,5,False,0.0,0.0,100,0.9595063063538368,1.0022809236655668,0.9230971020641016,0.9744382685071284
10,1.2,1.0,0.2,5,5,False,0.0,0.005,100,0.9736142854708398,0.9788418165467704,0.9783195871935316,0.9615315298616997
10,1.2,1.0,0.2,5,5,False,0.005,0.0,100,0.9813722297529388,0.9853052929048984,0.9477070941296476,0.964254237404074
10,1.2,1.0,0.2,5,5,False,0.005,0.005,100,1.0086323127231016,0.999265458495454,1.015893020335526,1.000116484330683
10,1.2,1.0,0.25,5,5,False,0.0,0.0,100,0.9284417175553888,0.9893461989813171,0.9608849789025112,1.016343764986662
10,1.2,1.0,0.25,5,5,False,0.0,0.005,100,1.027874906297266,0.9884889428468996,1.0015805121795744,0.9819575304469824
10,1.2,1.0,0.25,5,5,False,0.005,0.0,100,0.9973417369682028,0.991392271572208,1.024104169741808,0.99796299239965
