dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
mso8:111:800,mso8,oscillatory,synthetic,forecast,{},111,v2,1,800,2,0.0,False,3.013462495411139e-17,1.0000000000000002,0.09840433311540671,-0.27432437310373725,2.0,4.0,,False,0.9999999999850482,-0.39373397686810363,2.0543928367788666,True,0.21177106907582258,True,0.9929711778652718,True,0.5225320836161806,0.10892857142857143,1.7599465414337211e-06,0.001,0.9327474671402474,0,0.3928224818049784,True,0.9307710581980384,1.7856001888675201,0.42689665689573153,0.47746791638381936,0.6274822522454763,,,8.0,,,2.315696911328243e-06,0.8621847257847794,1.0192185660763362,0.8290273955119883,-0.15703384029155676
quasi_periodic:112:800,quasi_periodic,oscillatory,synthetic,forecast,{},112,v2,1,800,5,0.0,False,2.9341608507950566e-17,1.0,0.044621273067187286,-0.3803045391209601,5.0,6.0,,False,0.9999999238833676,-0.025713602851652473,14.716745503446571,True,0.3375921822731877,True,0.944380741525499,True,0.3015286244382269,0.03214285714285714,2.1404504908993767e-10,0.001,0.9227431204067784,0,0.6636265277845125,True,0.43316932092362953,0.5882004009444297,0.4300502196285687,0.6984713755617731,0.16035485327324805,,,3.0,,,1.6700151696181745e-08,0.08559985824646867,0.9270101805250448,0.3967925867517508,-0.8414103222785762
ar2:113:800,ar2,linear_stochastic,synthetic,forecast,"{'phi': [0.6, -0.3]}",113,v2,1,800,2,0.0,False,-1.2688263138573217e-17,1.0,0.10769564375043404,-0.30371878170568456,2.0,2.0,,False,0.13435421761195265,-0.04727953680427688,0.2653426771606169,True,0.1754124523636914,True,0.9975018790612858,True,0.8775526247047184,0.13749999999999998,0.4054492464446017,0.001,0.03583099251697768,0,0.5863783286486859,True,0.960980300328036,2.017247687501519,0.6277909138651115,0.1224473752952816,0.9554712550319472,,2.0,,,,1.0139832910970388,1.0122450769480429,1.0196553330520175,0.9871141099777572,-0.007410256103974611
garch11:114:800,garch11,nonlinear_stochastic,synthetic,forecast,"{'omega': 0.05, 'alpha': 0.12, 'beta': 0.82}",114,v2,1,800,1,0.0,False,2.2204460492503132e-17,1.0,-0.1414313836011922,0.3036648023124524,1.0,2.0,,False,-0.13693914284018405,0.06819643356088934,-0.9381195039826457,True,0.13786335371231728,True,0.9982780476350444,True,0.9186141355989091,0.014285714285714285,0.5296193313771946,0.001,0.6728999284523968,0,0.5801229144788406,True,0.9920844534426101,2.113050081681789,0.5627700830371131,0.08138586440109086,1.0338001302376076,,,,,0.0,1.0170670915564526,1.0351173593345557,1.0136202979045645,1.0063768163393092,0.021497061429991193
fbm_h08:115:800,fbm_h08,long_range,synthetic,forecast,{'H': 0.8},115,v2,1,800,2,0.0,False,0.0,1.0,0.1909857345575851,0.4517060151230634,2.0,5.0,,False,0.03962565775147153,-0.005738115648090458,-0.1087450333595582,True,0.1303107812283673,True,0.9976515583381416,True,0.86087365714678,0.0035714285714285713,0.43995545350086096,0.001,0.019483951409292075,0,0.7427966505639249,True,0.988510471307837,2.139379271654724,0.7528942086791214,0.13912634285322,0.982910198287015,,,,0.8,,0.9924793717042264,1.0088692566949102,1.0303663953250497,1.042028685894574,-0.021497138630139467
pink_noise:116:800,pink_noise,colored_noise,synthetic,forecast,{'beta': 1.0},116,v2,1,800,10,0.0,False,1.2688263138573217e-17,1.0,0.09489258417104496,-0.1598950321809629,10.0,4.0,,False,0.5041527602638854,-0.004104361972508186,2.367035899681265,True,0.16659591183189618,True,0.9932002705547798,True,0.8128387367677764,0.014285714285714285,0.36607252609369295,0.002812571827875186,0.5067301962861986,0,1.034955240171984,True,0.9921835002817923,1.860919830875351,0.945010151898636,0.1871612632322236,0.7070725575983153,,,,,0.0,1.0648523869389228,1.2432003229344362,1.0597255804071297,1.0547820336429652,0.18347474252730644
chirp:117:800,chirp,nonstationary,synthetic,forecast,"{'f0': 0.01, 'f1': 0.35}",117,v2,1,800,2,0.0,False,-1.4274296030894868e-17,1.0,-0.01869840035458731,-1.5011825577423812,2.0,2.0,,False,-1.0,0.8196161502432429,-2.0725073517363155,True,0.3143405111284273,True,0.9996230955436416,True,0.7723984939035484,0.12857142857142856,7.146135763994641e-06,0.001,0.95,0,0.43495505944766977,True,0.6596123975738762,1.0529889617501873,0.26949947691592285,0.22760150609645158,1.0864547159254991,,,,,0.0,1.6191215767607152,1.673411349284951,0.9140146313609082,1.5512435936790683,0.7593967179240427
regime_switch_ar:118:800,regime_switch_ar,nonstationary,synthetic,forecast,"{'p_switch': 0.015, 'phis': [(0.85, -0.15), (-0.55, 0.25)], 'sigmas': [0.35, 0.5]}",118,v2,1,800,1,0.0,False,-2.8548592061789737e-17,1.0,-0.21831119630615953,0.12344780506881659,1.0,3.0,,False,0.13147188487549566,0.0680687585587515,0.9058993856574643,True,0.19018699070400552,True,0.9970040541916452,True,0.8679127880237514,0.4803571428571428,0.4165388078486874,0.001,0.9446531992732928,0,0.6876759223702454,True,0.9834070760879433,1.845553950826655,0.6770022553226497,0.13208721197624862,0.8946839422755685,,,,,0.0,0.845053595611062,0.8083370051562292,1.0109507696812965,0.8528397432225836,-0.2026137645250673
lorenz63_noisy:119:800,lorenz63_noisy,chaotic_flow,synthetic,forecast,"{'rho': 28.0, 'dt': 0.02, 'snr_db': 10.0}",119,v2,1,800,15,0.0,False,0.0,0.9999999999999999,0.049322266311836165,-0.6946501795349009,15.0,10.0,,False,0.7798351555231993,0.0011198357043418206,6.611413659073345,True,,False,0.9656897758042087,True,0.5526898189088019,0.0017857142857142857,0.08247084460113922,0.008570211202649784,0.019320824158109217,0,1.3132642548467943,True,0.9886784592512236,1.284479948468815,0.8982681834589088,0.44731018109119813,0.4680224447315095,,,,,1.0,1.0346348772179246,0.6683305024307521,1.0080849052853937,0.7228127143359054,-0.33975440285464165
henon_heiles:120:800,henon_heiles,chaotic_flow,synthetic,forecast,"{'generator': 'henon_heiles', 'energy': 0.145, 'dt': 0.04}",120,v2,1,800,27,0.0,False,0.0,1.0,0.2799926108274382,-0.9330167381819887,27.0,13.0,,False,0.9999991099168537,-0.003951855848907004,21.49560960942057,True,0.8032861636867036,True,-0.11852087513196186,True,0.29481798633202844,0.007142857142857143,2.0282349378881514e-12,0.9492943098887091,0.44501112127969683,2,1.8374780659129186,True,0.27162856057443435,0.13410682181465966,1.0154643013008375,0.7051820136679716,0.06287086711707836,,,,,1.0,0.013690095930088745,0.6438855681541271,0.9419916243151455,0.38330025706812604,-0.2981060561610184
narma2:121:800,narma2,input_driven,synthetic,input_driven,"{'generator': 'narma', 'order': 2}",121,v2,1,800,1,0.0,False,-4.884981308350689e-16,1.0,0.8233975511792634,0.15748209754538411,1.0,3.0,14.26290846697886,True,0.8758402029803759,0.05694850295853282,6.942449736995493,True,0.1301360185308598,True,0.9992858121565366,True,0.927688653732719,0.14642857142857144,0.5575441372714968,0.001,0.7091809496801929,0,0.5235141138822752,True,0.9920873143669537,2.223804215140931,0.5869290699367694,0.07231134626728097,0.25925141091436943,,2.0,,,,0.39318293749084515,0.20069071618256737,0.9991842181672469,0.23466961631814573,-0.7984935019846795
narma5:122:800,narma5,input_driven,synthetic,input_driven,"{'generator': 'narma', 'order': 5}",122,v2,1,800,1,0.0,False,-8.881784197001252e-16,1.0,0.801289626751717,0.05226226516814414,1.0,2.0,11.733182702101384,True,0.8238352794466429,0.06748937482647921,5.8296338611729475,True,0.14937200153255953,True,0.9969854093729897,True,0.9242091957333968,0.23928571428571427,0.5458066621645733,0.001,0.8126109343217993,0,0.41662406647976535,True,0.9944936033156866,2.1897538915769115,0.4500482517824171,0.07579080426660323,0.3296594390077097,,5.0,,,,0.37156879431109435,0.4681352191331107,0.9855753917495265,0.23900697743751267,-0.5174401726164157
narma30:123:800,narma30,input_driven,synthetic,input_driven,"{'generator': 'narma', 'order': 30}",123,v2,1,800,1,0.0,False,-3.9968028886505636e-16,1.0,0.9585585915414239,0.5386557103383831,1.0,2.0,7.213077585117064,True,0.7463058652589696,0.12846774788026072,0.4583435197310912,True,0.14793549801052275,True,0.997113077856902,True,0.9192099986642327,0.3767857142857143,0.5493137262034116,0.001,0.019843622451358803,0,0.4661316404386317,True,0.9941285217242316,2.377910810789443,0.5351171355759173,0.0807900013357673,0.3538734051334881,,30.0,,,,0.7626494374779514,0.7779565125086242,1.0042384420386528,0.7751625558284316,-0.22628192953002857
channel_equalization:124:800,channel_equalization,input_driven,synthetic,input_driven,{'generator': 'channel_equalization'},124,v2,1,800,1,0.0,False,1.586032892321652e-17,1.0,0.08362655920676645,-0.6528187294934993,1.0,4.0,3.752895975645258,True,0.09556936029546226,0.8525968670013486,1.2072159530688293,True,,False,0.9978499353640706,True,0.9260084868521392,0.017857142857142856,0.5338653700087759,0.001,0.9254448876038428,0,0.6038680421443164,True,0.9157412064542719,1.3745577361175452,0.6430800510541073,0.07399151314786079,0.22767031581475242,,2.0,,,,0.8505900201567037,0.4499469381556676,1.0266684881265917,0.15245919418492984,-0.5767215499709242
ikeda_map:125:800,ikeda_map,chaotic_map,synthetic,forecast,"{'generator': 'ikeda_map', 'u': 0.9}",125,v2,1,800,1,0.0,False,-3.489272363107635e-17,1.0,0.025552193705792543,-0.9830929818992815,1.0,4.0,,False,0.02954503045743395,0.5200957735651882,2.406244595239148,True,0.41467292110004317,True,0.9970624600364143,True,0.9102194089087542,0.19464285714285715,0.5148274924331924,0.001,0.559911736099692,0,0.25588754543631337,True,0.8932515435624271,0.9876261343646433,0.39331857901939776,0.08978059109124581,0.6710880687192835,,,,,1.0,0.9733908222148747,0.4722832911557129,0.9744940245635355,0.6202733032294304,-0.5022107334078226
tent_map:126:800,tent_map,chaotic_map,synthetic,forecast,"{'generator': 'tent_map', 'mu': 1.99}",126,v2,1,800,1,0.0,False,3.2989484160290367e-16,1.0,-0.03878604332302784,-1.176661243377334,1.0,6.0,,False,-0.03761561358835053,1.0279704673797725,1.8830365355160636,True,0.6649058597116615,True,0.9992644373084836,True,0.9265103198018998,0.2982142857142857,0.5493674311916569,0.001,0.039044180321591924,0,0.3585656535904269,True,0.7458841171542947,0.6431367599852839,0.460860705117459,0.0734896801981002,0.0982097052667299,0.688134638736401,,,,1.0,0.9999956470491649,0.08385295506850905,0.9068297186104156,0.07400742605912176,-0.8229767635419065
sine_map:127:800,sine_map,chaotic_map,synthetic,forecast,"{'generator': 'sine_map', 'a': 0.99}",127,v2,1,800,1,0.0,False,1.030921380009074e-16,1.0,-0.058825083059678436,-1.4501919448753644,1.0,9.0,,False,0.05168843399407086,0.9408468954125452,2.535559992264581,True,0.6085248682514305,True,0.9991708495056013,True,0.8902262154994645,0.27499999999999997,0.4394865774056285,0.001,0.7833630480496792,0,0.3569747395829213,True,0.7501824769700254,0.5980758519648078,0.468369223881136,0.10977378450053554,0.08639832517696146,,,,,1.0,0.9426146488475173,0.013348067506822535,0.8956942554907158,0.04504297134404835,-0.8823461879838933
circle_map:128:800,circle_map,chaotic_map,synthetic,forecast,"{'generator': 'circle_map', 'omega': 0.31, 'K': 1.1}",128,v2,1,800,1,0.0,False,-2.9876894609109123e-16,1.0,0.20311180963559894,-0.8676214715307675,1.0,4.0,,False,0.9999999999976805,-0.0006048973471299846,319.4971222076452,True,,False,0.9677831425489256,True,0.38343942694654737,0.2732142857142857,7.792779058726168e-07,0.001,0.95,0,0.06511694639919931,True,0.43196391548545815,0.17484623864649437,0.006300818656231566,0.6165605730534527,0.02459466099480748,,,,,1.0,1.9080916146487954e-11,1.8704375138183596e-10,0.9179233344859926,0.009817537421889413,-0.9179233342989489
lozi_map:129:800,lozi_map,chaotic_map,synthetic,forecast,"{'generator': 'lozi_map', 'a': 1.7, 'b': 0.5}",129,v2,1,800,2,0.0,False,2.2997476938663958e-17,1.0,-0.272981175988754,-0.6684773472990493,2.0,12.0,,False,0.4324838137505903,0.5447377055913111,8.444379811058319,True,0.4401803058617536,True,0.9986581959995657,True,0.8259675793257479,0.4946428571428571,0.33717381602892166,0.001,0.8618606265583235,0,0.17688152411098992,True,0.7043041422815759,0.451424231910362,0.3502930977115374,0.17403242067425206,0.15092541422205397,,,,,1.0,0.9284042933773715,0.25106426917242614,0.9286955405408567,0.35026551349255114,-0.6776312713684305
standard_map:130:800,standard_map,chaotic_map,synthetic,forecast,"{'generator': 'standard_map', 'K': 1.2}",130,v2,1,800,4,0.0,False,-1.1102230246251566e-17,1.0,0.006681179547894665,-1.5120806599897216,4.0,4.0,,False,0.9999999989573942,-0.0006943963310647172,50.73820476984166,True,,False,0.6354785713736926,True,0.15342492495272367,0.1839285714285714,1.8061842638593156e-09,0.001,0.95,0,0.015160200778673466,True,0.7203532066071175,0.11696152466196846,0.09125886422877234,0.8465750750472764,0.02635142071445971,,,,,1.0,5.418585558792285e-07,4.1354930009350105e-07,0.9416864733876138,0.019735128047997878,-0.9416860598383137
