dataset_id,name,family,subset_group,original_qrc_advantage_nrmse,nrmse_qrc_spin_rerun,nrmse_esn_frozen_rerun,nrmse_advantage_rerun,nmae_qrc_spin,nmae_esn_frozen,nmae_advantage,nrmse_nvar,nmae_nvar,nrmse_qrc_vs_nvar_advantage,nmae_qrc_vs_nvar_advantage
logistic_r3.9000_s051_v4_downsampled_aliased:71551:800,logistic_r3.9000_s051_v4_downsampled_aliased,chaotic_map,chaotic_control,0.0160038023136124,0.3029913474372375,0.29392683870205893,-0.009064508735178556,0.2412172827022278,0.22703844302004395,-0.014178839682183864,0.2059091197428394,0.13009026503700466,-0.09708222769439809,-0.11112701766522315
chua_alpha10.77_s450_v4_window_length_horizon:83950:800,chua_alpha10.77_s450_v4_window_length_horizon,chaotic_flow,chaotic_control,-0.8937077151438861,0.30862411360314,0.20500627192157597,-0.10361784168156404,0.25174094714801776,0.18214233846493688,-0.06959860868308088,0.15800535106373517,0.13941525534014348,-0.15061876253940484,-0.11232569180787427
lorenz96_F11.98_s234:4034:800,lorenz96_F11.98_s234,chaotic_flow,chaotic_control,-0.1704320831492228,0.07227033042155459,0.006767799962905116,-0.06550253045864947,0.047621641518647555,0.004886812504527565,-0.04273482901411999,0.0009568874122256423,0.00045056060044869117,-0.07131344300932894,-0.04717108091819886
ikeda_u0.771_s321:3221:800,ikeda_u0.771_s321,chaotic_map,chaotic_control,-0.260884284086949,0.347624865915867,0.07496422651400683,-0.27266063940186014,0.28686698816563655,0.05611816095277358,-0.23074882721286297,0.15185862225725352,0.1180860023039411,-0.19576624365861348,-0.16878098586169543
chua_alpha11.25_s288_v4_time_warped:83788:800,chua_alpha11.25_s288_v4_time_warped,chaotic_flow,chaotic_control,-0.2496367342672412,0.23306830029653877,0.011128261801087534,-0.22194003849545124,0.1637604586779025,0.009697246232232474,-0.15406321244567003,0.012847450130185043,0.011270613408246134,-0.22022085016635373,-0.15248984526965637
ikeda_u0.809_s304_v4_time_warped:78804:800,ikeda_u0.809_s304_v4_time_warped,chaotic_map,chaotic_control,-0.1339718094223214,0.675332008621243,0.5314075596185254,-0.1439244490027176,0.5381292553649075,0.43282710274200387,-0.10530215262290366,0.6482167991397245,0.5221623072178537,-0.027115209481518465,-0.015966948147053794
quadratic_map_a1.503_s415:3915:800,quadratic_map_a1.503_s415,chaotic_map,chaotic_control,-0.0179948766822181,0.06422608934214019,0.0001646417319200199,-0.06406144761022017,0.050445626564590264,0.00013060068925988287,-0.050315025875330384,3.61459160791779e-08,2.5169588216874436e-08,-0.06422605319622411,-0.050445601395002045
rossler_c8.58_s243:1543:800,rossler_c8.58_s243,chaotic_flow,chaotic_control,-0.1456068187715083,0.02306763913155975,8.142574674654303e-05,-0.022986213384813207,0.019010863290552484,5.6899575291546875e-05,-0.018953963715260938,3.9077130941681494e-05,1.9702216932049197e-05,-0.023028562000618067,-0.018991161073620436
lorenz63_rho42.14_s178:1378:800,lorenz63_rho42.14_s178,chaotic_flow,chaotic_control,0.2049005612770549,0.07582977501185988,0.0010605771790585406,-0.07476919783280134,0.050959399966287254,0.00041045530723607024,-0.05054894465905119,0.007068076920930018,0.0026464322383658546,-0.06876169809092986,-0.0483129677279214
lorenz63_rho41.90_s288:1488:800,lorenz63_rho41.90_s288,chaotic_flow,chaotic_control,-0.3022892128015793,0.08540823400974731,7.769942274449626e-05,-0.08533053458700282,0.06727244687655226,6.260912355947963e-05,-0.06720983775299279,0.0006095016994732585,0.0004103485260284836,-0.08479873231027406,-0.06686209835052377
circle_map_k1.07_s432:3632:800,circle_map_k1.07_s432,chaotic_map,chaotic_control,-0.0006055889621493,0.001256187879292676,4.839189094640938e-08,-0.0012561394874017295,0.0011107429546602166,3.8833462042371105e-08,-0.0011107041211981742,1.0194515556003946e-10,5.95849331467383e-11,-0.0012561877773475203,-0.0011107428950752835
henon_a1.158_s069_v4_downsampled_aliased:72069:800,henon_a1.158_s069_v4_downsampled_aliased,chaotic_map,chaotic_control,-0.7386446607432413,0.6160864042885468,0.3286499461142157,-0.28743645817433106,0.5164930747639452,0.2188607164367529,-0.29763235832719237,0.261727684140155,0.13587549427975185,-0.35435872014839176,-0.38061758048419336
lorenz63_rho22.75_s271_snr5db:9771:800,lorenz63_rho22.75_s271_snr5db,chaotic_flow,chaotic_control,-0.2542153760095321,0.8000507910685729,0.7203910647256655,-0.07965972634290741,0.6158868881657885,0.5838128499063491,-0.03207403825943944,0.7121908974151492,0.5742560873404854,-0.08785989365342373,-0.04163080082530313
lorenz96_F6.94_s008:3808:800,lorenz96_F6.94_s008,chaotic_flow,chaotic_control,-0.2469416875337499,0.14853607135349975,0.008426440777038068,-0.14010963057646167,0.08609960438503166,0.004033745667538677,-0.08206585871749297,8.058850173631361e-05,5.34084407214524e-05,-0.14845548285176344,-0.0860461959443102
