dataset_id,name,family,subset_group,original_qrc_advantage_nrmse,nrmse_qrc_J1,nrmse_qrc_J0,nrmse_qrc_J1_dissipative_exploratory,paired_delta_J0_minus_J1,paired_delta_diss_minus_nodiss,nmae_qrc_J1,nmae_qrc_J0,nmae_qrc_J1_dissipative_exploratory,feature_dim,seeds
rossler_c8.50_s398_v4_time_warped:71398:800,rossler_c8.50_s398_v4_time_warped,chaotic_flow,chaotic_control,-0.6435386581487623,0.021113073785677068,0.18898388812031278,0.2977364040833966,0.16787081433463572,0.2766233302977195,0.01536731922406299,0.16091334652111777,0.2348156226043072,60,0
chua_alpha8.13_s191_v4_window_length_horizon:83691:800,chua_alpha8.13_s191_v4_window_length_horizon,chaotic_flow,chaotic_control,-0.0291560712655268,0.005207802158996454,0.44374916850671187,0.5431220057847292,0.4385413663477154,0.5379142036257328,0.004233115448902701,0.39764902690548,0.4562260144015852,60,0
lorenz63_rho22.95_s088:1288:800,lorenz63_rho22.95_s088,chaotic_flow,periodic_control,-0.0217613496649612,0.008983467898669478,0.23944806067341834,0.31864695738481236,0.23046459277474887,0.30966348948614286,0.007167048661680901,0.19281530473787853,0.23763742901929086,60,0
henon_heiles_E0.110_s188:2888:800,henon_heiles_E0.110_s188,chaotic_flow,periodic_control,-1.6015661550313136,0.13916117853048288,0.475381721260731,0.5174345275196469,0.33622054273024815,0.37827334898916404,0.09352637025887228,0.38244331232493,0.41588085781851997,60,0
v4_unit_root_d0.007_s826:64826:800,v4_unit_root_d0.007_s826,unit_root_trend,periodic_control,-0.0739653062713581,0.5598936391668929,0.8099704363446605,1.1788790172282637,0.25007679717776754,0.6189853780613708,0.4302742697475052,0.6166427862942551,0.8983747218486358,60,0
logistic_r3.9604_s479:1879:800,logistic_r3.9604_s479,chaotic_map,periodic_control,-9.347259793502989e-08,9.350067508434566e-08,0.9976778729711829,0.8956805893540408,0.9976777794705078,0.8956804958533657,7.921473426626703e-08,0.8655389397101977,0.7427770936740197,60,0
circle_map_k1.04_s408_v4_window_length_horizon:80408:800,circle_map_k1.04_s408_v4_window_length_horizon,chaotic_map,periodic_control,-1.2848946370667853e-06,1.5086835437758082e-06,0.9682948577313448,0.916095955347132,0.9682933490478011,0.9160944466635882,1.1738145543122694e-06,0.7934248952622445,0.702843637430884,60,0
mso5_s269_snr10db:11269:800,mso5_s269_snr10db,oscillatory_quasiperiodic,periodic_control,-0.1168060818531746,0.567925793699648,0.673166402986074,0.6893701719010454,0.10524060928642598,0.12144437820139742,0.4556444566243836,0.5344543464593381,0.5573742564072441,60,0
narma25_s306:1906:800,narma25_s306,input_driven_memory,background_control,0.0154007927342161,0.8464610016139857,1.0055315100991682,1.0077613659184788,0.15907050848518245,0.16130036430449302,0.6730550522336582,0.8354057200426783,0.827025140588188,60,0
stoch_vol_p0.847_s434:4934:800,stoch_vol_p0.847_s434,volatility_heteroskedastic,background_control,-0.0137935889367198,1.0090542268911102,1.0214622404224873,1.0312409634415163,0.012408013531377104,0.02218673655040604,0.8143559521706623,0.8228305373636047,0.8360587028341693,60,0
nonlinear_ipc_d3_l15_s265:2065:800,nonlinear_ipc_d3_l15_s265,input_driven_memory,background_control,-0.1936046155403787,0.8526081663458427,0.9912587817494262,0.9958512276563913,0.13865061540358348,0.14324306131054865,0.6468260964914619,0.7164014328257644,0.7333505608835814,60,0
nonlinear_ipc_d3_l14_s464_v4_quantized_clipped_saturated:73964:800,nonlinear_ipc_d3_l14_s464_v4_quantized_clipped_saturated,input_driven_memory,background_control,-0.1405009839209743,0.7565115786021369,1.0201422062497674,1.0171223381991403,0.26363062764763046,0.2606107595970034,0.6119168939728553,0.81292616749401,0.8125157165582538,60,0
v4_mackey_glass_tau41_dt0.70_s775:61775:800,v4_mackey_glass_tau41_dt0.70_s775,delay_dynamics,background_control,-0.1460839321631504,0.03476301514780972,0.2244417884707776,0.4198321237685056,0.18967877332296787,0.3850691086206959,0.02372149884579838,0.16812653659293822,0.3272457631862048,60,0
v4_jump_ar_049:65049:800,v4_jump_ar_049,heavy_tail_jump,background_control,-0.0200499387156689,0.7651860439868751,0.7729603586763011,0.8495903933236132,0.007774314689426021,0.08440434933673813,0.46918230416078005,0.4648152443878592,0.4959588052446197,60,0
