dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,forecastability,pred_nrmse_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
logistic_r3.6652_s001:1401:800,logistic_r3.6652_s001,chaotic_map,synthetic,forecast,"{'generator': 'logistic', 'r': 3.6651563262914184}",1401,v1,1,800,186,0.0,False,-5.789020056974031e-17,1.0,-0.5428422249268438,-1.0195991758130867,186.0,9.0,,False,0.7729473925979736,0.2245788186133989,16.02983387169018,True,0.27547835489423406,True,0.7682944032483863,True,0.4455949064476417,0.5,0.09605344346365938,0.001,0.9118438534164565,0,0.07258748629929833,True,0.49293061180225023,0.5544050935523583,0.049737197233332794,0.2681290070784454,,,,1.0,0.540213525390163,0.6033083207454545,0.5496736041551342,0.5384630158289143,0.053634716590320264
logistic_r3.8698_s002:1402:800,logistic_r3.8698_s002,chaotic_map,synthetic,forecast,"{'generator': 'logistic', 'r': 3.869834172572306}",1402,v1,1,800,2,0.0,False,-4.9960036108132046e-17,1.0,-0.11660391091248593,-1.4469332313365861,2.0,14.0,,False,0.3841481350411231,0.6092008957009277,6.89654217856059,True,0.384026012287863,True,0.9920386156143166,True,0.7399965828711385,0.34285714285714286,0.19017284714376267,0.001,0.8300465184821293,0,0.32098860934763607,True,0.6759851499285691,0.26000341712886155,0.08155347483675433,0.40124669963558823,,,,1.0,0.6365125594342952,0.8193266286505356,0.46878248091951985,0.10899666478826499,0.3505441477310158
henon_a1.159_s000:1500:800,henon_a1.159_s000,chaotic_map,synthetic,forecast,"{'generator': 'henon', 'a': 1.1593329435006159, 'b': 0.3}",1500,v1,1,800,13,0.0,False,-5.3925118338936174e-17,1.0,-0.7257748577029608,-0.4376640142458834,13.0,9.0,,False,0.5157289224952021,0.47488993757929987,15.230797358451504,True,0.29022727995747105,True,0.9896654854554714,True,0.7369924369810387,0.5,0.2746715167540051,0.001,0.9009686750126981,0,0.26430610528922,True,0.6259554752349986,0.26300756301896133,0.09685628490448132,0.29092884725190443,,,,1.0,0.9338361537998958,0.9317301024401544,0.943979557930732,0.7811208777957858,-0.012249455490577543
henon_a1.026_s001:1501:800,henon_a1.026_s001,chaotic_map,synthetic,forecast,"{'generator': 'henon', 'a': 1.0256078947018008, 'b': 0.3}",1501,v1,1,800,186,0.0,False,7.2957513046796e-17,1.0000000000000002,-0.14899775595347337,-1.6237018384590767,186.0,2.0,,False,0.9999999510156519,-0.00027340836544331726,79.8314213190322,True,,False,-0.0921647442567318,True,0.17696404545548092,0.5,2.9726467829316515e-14,0.001,0.001,0,0.004257934995873483,True,0.43620706446955015,0.823035954544519,0.016536545884538498,-0.0011600544639148037,,,,0.0,8.118316038487115e-07,1.4409399458618323e-06,0.015076627719557228,0.005946004015793446,-0.015075186779611366
henon_a1.331_s002:1502:800,henon_a1.331_s002,chaotic_map,synthetic,forecast,"{'generator': 'henon', 'a': 1.331289925194381, 'b': 0.3}",1502,v1,1,800,2,0.0,False,-4.282288809268461e-17,1.0,-0.6386894195508108,-0.542460826598008,2.0,17.0,,False,0.3801067690958493,0.6041434240048822,9.418712263237806,True,0.3387038725176011,True,0.9986820531525639,True,0.8303628870129126,0.4446428571428571,0.2874003277629923,0.001,0.2151771869687769,0,0.15457153690376688,True,0.65319827228293,0.1696371129870874,0.12549823464602394,0.33482380816551244,,,,1.0,0.853482460189899,0.7886779724212029,0.7115670701108018,0.18486236987329077,0.07711090231040107
narma02_s000:1600:800,narma02_s000,input_driven,synthetic,input_driven,"{'generator': 'narma', 'order': 2}",1600,v1,1,800,1,0.0,False,-1.0277493142244307e-15,1.0,1.033911518072528,0.46608264636352637,1.0,4.0,12.004136087638814,True,0.8177046860097749,0.10311233815094412,6.931839026761059,True,0.13515571580126448,True,0.9986863210737866,True,0.9171613477419873,0.35535714285714287,0.5010895210803036,0.001,0.8536516699818618,0,0.4789066533238231,True,0.9933610952610636,0.08283865225801268,0.28139469760335045,,2.0,,,,0.35335246990114466,0.3982149520516134,0.8725657676821782,0.21277590817703107,-0.4743508156305648
narma05_s001:1601:800,narma05_s001,input_driven,synthetic,input_driven,"{'generator': 'narma', 'order': 5}",1601,v1,1,800,1,0.0,False,-5.011863939736421e-16,1.0,0.7107045116743168,-0.1575398035812987,1.0,2.0,13.815577061666358,True,0.8728769146046191,0.022292925098697958,6.455678394421148,True,0.1579048615461323,True,0.9978531555845429,True,0.9216748085104486,0.425,0.5546859932723349,0.001,0.5178976172763529,0,0.5837519786125319,True,0.9925732611281807,0.07832519148955142,0.32377486050754917,,5.0,,,,0.35276792096065396,0.4197010807484931,0.9340569195856688,0.26622118258840216,-0.5143558388371757
narma10_s002:1602:800,narma10_s002,input_driven,synthetic,input_driven,"{'generator': 'narma', 'order': 10}",1602,v1,1,800,1,0.0,False,9.769962616701378e-16,1.0,1.0421817554551644,0.9157642030574835,1.0,2.0,10.837641725566591,True,0.7674452351283461,0.10312624337881426,4.86632619208902,True,0.14206456916705415,True,0.9977401244122659,True,0.9331146803822462,0.017857142857142856,0.616880458271487,0.001,0.6806787831620192,0,0.5565367660896883,True,0.994414210726365,0.06688531961775379,0.35976175657348525,,10.0,,,,0.4380806915542183,0.5091981385351684,1.009754952281096,0.3745814837429362,-0.5005568137459276
linear_memory_lag01_s000:1700:800,linear_memory_lag01_s000,input_driven,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 1}",1700,v1,1,800,1,0.0,False,-1.586032892321652e-17,1.0,0.09121397462723736,-1.135430994200293,1.0,4.0,18.993866356371395,True,0.9996235243517758,-0.000773960942343499,6.508517403005491,True,0.14052286141154594,True,0.9971631949655975,True,0.9189078563185492,0.39999999999999997,0.5373590762471109,0.001,0.7259960413107088,0,0.5324917077783136,True,0.9947755439780473,0.08109214368145079,0.03391808648151664,,1.0,,,,0.01922443915765222,0.20936542803831865,0.9574427409245,0.02615637168310184,-0.7480773128861813
linear_memory_lag08_s001:1701:800,linear_memory_lag08_s001,input_driven,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 8}",1701,v1,1,800,1,0.0,False,9.516197353929913e-18,0.9999999999999999,-0.01280807820902259,-1.075038628909928,1.0,4.0,11.996228940845882,True,0.9996902835804984,-0.0009516693181619296,8.19267515646583,True,0.14687157629311878,True,0.9961682606375839,True,0.9205775200391594,0.46249999999999997,0.5437206556936663,0.001,0.38469099452605704,0,0.4483205098095499,True,0.9965866064626591,0.07942247996084062,0.03551599270277514,,8.0,,,,0.01659450975606849,0.2919376922944114,1.0165341786054505,0.025497098840315178,-0.724596486311039
