name,family,linear,esn,qrc_J1,qrc_J0,adv_quantum,adv_noCoupling
logistic_r3.7811_s000_snr20db,chaotic_map,0.7040460173729179,0.6696729525932535,0.3660842166499017,0.3019227333954395,0.30358873594335184,0.36775021919781403
logistic_r3.7298_s001_snr5db,chaotic_map,0.8408424990263521,0.8130962145737552,0.8006549040141231,0.7902034445684328,0.012441310559632157,0.022892770005322416
logistic_r3.9605_s002_snr10db,chaotic_map,0.31985746392628656,0.30577170711779,0.6182836648146676,0.7778224484409152,-0.31251195769687756,-0.4720507413231252
logistic_r3.9984_s003_snr20db,chaotic_map,0.9902556016391546,0.9476156382743169,0.6139668550105236,0.6252691608568447,0.3336487832637933,0.32234647741747224
logistic_r3.8279_s004_snr5db,chaotic_map,0.8168307039821259,0.8105471372102125,0.8428194072795308,0.85578838452402,-0.03227227006931821,-0.04524124731380741
logistic_r3.9325_s005_snr10db,chaotic_map,0.9239063271350578,0.9326212447820138,0.7235940001994542,0.675613857263616,0.2090272445825596,0.2570073875183978
logistic_r3.8640_s006_snr20db,chaotic_map,0.6916607679100388,0.5683529128475572,0.48067623063414655,0.4336323040545817,0.08767668221341063,0.13472060879297548
logistic_r3.6165_s007_snr5db,chaotic_map,0.5644374584506459,0.56300331560794,0.6552864002954183,0.6610388754364419,-0.09228308468747826,-0.09803555982850187
logistic_r3.6226_s008_snr10db,chaotic_map,0.44553035044060574,0.44938521479182253,0.4727581470744139,0.4653211182509138,-0.023372932282591352,-0.015935903459091294
logistic_r3.6491_s009_snr20db,chaotic_map,0.39434072254162816,0.4117943485008219,0.27335356257194693,0.24952432748123726,0.138440785928875,0.16227002101958465
logistic_r3.9420_s010_snr5db,chaotic_map,0.9398877482202312,0.9269897359621576,0.841810167710667,0.8517299257370791,0.08517956825149064,0.07525981022507855
logistic_r3.7705_s011_snr10db,chaotic_map,0.7436104408208553,0.7241324123514262,0.5835092286373722,0.5621722128844502,0.14062318371405402,0.16196019946697604
logistic_r3.6714_s012_snr20db,chaotic_map,0.4960412195268862,0.49951151814403577,0.2939139213203166,0.24817023764024174,0.2055975968237192,0.251341280503794
logistic_r3.7042_s013_snr5db,chaotic_map,0.776261660746498,0.7440321405278179,0.7581809216045663,0.7377954578506225,-0.01414878107674844,0.006236682677195349
logistic_r3.8803_s014_snr10db,chaotic_map,0.829208476465322,0.7629323119190491,0.6734371447887879,0.6455272897276093,0.08949516713026118,0.11740502219143978
logistic_r3.8526_s015_snr20db,chaotic_map,0.11531659511971137,0.11369961860389391,0.2485374628303843,0.19080668639213805,-0.1348378442264904,-0.07710706778824414
logistic_r3.7406_s016_snr5db,chaotic_map,0.5201323026283324,0.5050478373032551,0.783440061003833,0.7680974673297445,-0.2783922237005779,-0.2630496300264894
logistic_r3.9014_s017_snr10db,chaotic_map,0.854900176750149,0.768217480256504,0.6797280432690538,0.6718601328975763,0.08848943698745027,0.09635734735892776
logistic_r3.6964_s018_snr20db,chaotic_map,0.6567907621464666,0.6044206158974381,0.3301212136922161,0.25866584962121636,0.27429940220522203,0.34575476627622176
logistic_r3.8078_s019_snr5db,chaotic_map,0.8733682362655181,0.8436451858123175,0.7969118326326913,0.785368072255762,0.046733353179626236,0.058277113556555515
