dataset_id,nrmse_linear,nrmse_gbm,nrmse_nvar,nmae_nvar,nrmse_esn_v5,nmae_esn_v5,nrmse_qrc_m,nmae_qrc_m,advantage_qrc_m_vs_esn,nmae_advantage_qrc_m_vs_esn,qrc_m_useful,nrmse_qrc_e,nmae_qrc_e,advantage_qrc_e_vs_esn,nmae_advantage_qrc_e_vs_esn,qrc_e_useful,nrmse_qrc_d,nmae_qrc_d,advantage_qrc_d_vs_esn,nmae_advantage_qrc_d_vs_esn,qrc_d_useful,best_qrc_variant,best_qrc_advantage_vs_esn,qrc_any_win,qrc_any_useful,label_seed_count
mackey_glass_tau34_s211:1311:800,0.6059159507197628,0.35258962111751474,0.22231452696934403,0.17714949120197568,0.11698774572359243,0.0906571065557509,1.0042724484201784,0.7958025048945468,-0.887284702696586,-0.705145398338796,False,0.6978947933176555,0.5749434120832289,-0.5809070475940631,-0.484286305527478,False,0.9354259215579644,0.8127485038112439,-0.8184381758343721,-0.722091397255493,False,qrc_e,-0.5809070475940631,False,False,1
mackey_glass_tau24_s212:1312:800,0.5877082045256472,0.234100501633432,0.21377684588305432,0.1825827490125649,0.11898768030031333,0.09170571509638138,0.7216054427620412,0.5614912041315516,-0.6026177624617278,-0.46978548903517026,False,0.9493896442088853,0.7498909819608441,-0.8304019639085719,-0.6581852668644628,False,0.9734097980272771,0.8342527813042235,-0.8544221177269637,-0.7425470662078422,False,qrc_m,-0.6026177624617278,False,False,1
mackey_glass_tau26_s223:1323:800,0.6296718755580583,0.2765194442850555,0.2735774901501049,0.2221357903443439,0.10835958607092613,0.08187367963599396,0.6942203159619006,0.566234720783166,-0.5858607298909745,-0.484361041147172,False,0.933099257754614,0.735267693955359,-0.8247396716836879,-0.6533940143193651,False,0.8630919198391465,0.6942653007696208,-0.7547323337682204,-0.6123916211336269,False,qrc_m,-0.5858607298909745,False,False,1
mackey_glass_tau16_s228:1328:800,0.3255264538004687,0.14364583293529867,0.09396779728566598,0.07494678746349694,0.01590113722725935,0.011907821716807314,0.13476925874837514,0.10289530373221542,-0.1188681215211158,-0.0909874820154081,False,0.5464359308121584,0.4385880129471783,-0.530534793584899,-0.426680191230371,False,0.8177816078307396,0.6268320006906568,-0.8018804706034802,-0.6149241789738495,False,qrc_m,-0.1188681215211158,False,False,1
mackey_glass_tau32_s236:1336:800,0.4259035958162771,0.7255814532778864,0.25201830152834886,0.18878002199495525,1.1655047865178934,0.7289622815266462,0.6589694287294149,0.5396485183904838,0.5065353577884785,0.18931376313616244,True,0.9527745400575333,0.8082095542419839,0.2127302464603601,-0.07924727271533771,True,0.9725434186298314,0.821802898517819,0.19296136788806195,-0.09284061699117274,True,qrc_m,0.5065353577884785,True,True,1
mackey_glass_tau41_s331:1431:800,0.6171578455910858,0.6380354444283108,0.32576831525143224,0.27858116325833027,0.33050354215002153,0.2679180495773992,1.178545600328482,0.9666399542876561,-0.8480420581784605,-0.698721904710257,False,0.8825391129713878,0.7962748166317243,-0.5520355708213662,-0.5283567670543251,False,0.826545867232458,0.729978725840883,-0.4960423250824365,-0.4620606762634838,False,qrc_d,-0.4960423250824365,False,False,1
mackey_glass_tau16_s356:1456:800,0.32982325847691313,0.1467818804081554,0.06766713951826386,0.05500538725441498,0.006896239179249006,0.005439986561594362,0.21595506043470847,0.17395180957825462,-0.20905882125545946,-0.16851182301666026,False,0.616028980201553,0.5052651413274541,-0.609132741022304,-0.49982515476585976,False,0.8195673689787162,0.6952701756530251,-0.8126711297994672,-0.6898301890914307,False,qrc_m,-0.20905882125545946,False,False,1
mackey_glass_tau26_s380:1480:800,0.48816633665326675,0.2643963548419359,0.1590835657176968,0.13048840992517394,0.10721257380024443,0.0895603856476772,0.5719051620015682,0.4805622337695342,-0.46469258820132375,-0.391001848121857,False,0.8530876932583428,0.7256417739061694,-0.7458751194580984,-0.6360813882584921,False,0.8709709822447028,0.7514071601183996,-0.7637584084444584,-0.6618467744707224,False,qrc_m,-0.46469258820132375,False,False,1
mackey_glass_tau44_s398:1498:800,0.8088404865048251,1.1836099610320117,0.8241679856002591,0.6937810272835118,0.8780594659500843,0.7404060992668996,1.7375895085838993,1.479866189271616,-0.8595300426338149,-0.7394600900047165,False,1.1465216319396485,0.9497612826067469,-0.2684621659895642,-0.20935518333984726,False,1.1747496728628544,0.9449749204056597,-0.29669020691277004,-0.20456882113876007,False,qrc_e,-0.2684621659895642,False,False,1
mackey_glass_tau43_s413:1513:800,0.5625515536746427,0.8620834492433622,0.8832285788055126,0.7733453776413797,0.44376407246002436,0.3660111822543632,0.8175758311208573,0.6815007954295683,-0.37381175866083294,-0.31548961317520513,False,0.8965124654607542,0.7754991203865605,-0.4527483930007299,-0.40948793813219736,False,0.8578364009547877,0.7598578392318373,-0.4140723284947634,-0.39384665697747406,False,qrc_m,-0.37381175866083294,False,False,1
mackey_glass_tau26_s424:1524:800,0.5262693011870986,0.18243343123494257,0.20393877652014125,0.17330720768612093,0.07669308335938445,0.06301653046633197,2.0,2.0,-1.9233069166406156,-1.936983469533668,False,0.7096682977692311,0.5909445781692662,-0.6329752144098467,-0.5279280477029342,False,0.8645091668327114,0.7282497821718315,-0.787816083473327,-0.6652332517054995,False,qrc_e,-0.6329752144098467,False,False,1
mackey_glass_tau39_s431:1531:800,0.661820730102892,0.6689489720766602,0.36570106317574824,0.2804074906797113,0.3090272685788762,0.23891215345775288,0.6302442311486749,0.48460158697056255,-0.3212169625697987,-0.24568943351280967,False,0.7674942796951383,0.6299265680742996,-0.4584670111162621,-0.39101441461654673,False,1.1110677169868384,0.9053036763463491,-0.8020404484079622,-0.6663915228885963,False,qrc_m,-0.3212169625697987,False,False,1
mackey_glass_tau37_s435:1535:800,0.6512915916208786,0.3584607955439407,0.22412617864513165,0.17915096632703106,0.044641824720803754,0.033058471462660395,0.5279361625956597,0.4296855196016605,-0.48329433787485593,-0.3966270481390001,False,0.6405754299184256,0.5119728789515026,-0.5959336051976218,-0.4789144074888422,False,0.8062182848820351,0.6790184446620923,-0.7615764601612313,-0.6459599731994319,False,qrc_m,-0.48329433787485593,False,False,1
mackey_glass_tau28_s437:1537:800,0.6944776302148303,0.31985167566499934,0.21599002141587373,0.16834062131530814,0.15255504798464484,0.11862323083444182,0.7473322801816615,0.6098128142938521,-0.5947772321970167,-0.49118958345941033,False,1.1029766707938244,0.96436039199219,-0.9504216228091796,-0.8457371611577482,False,0.9566820329476232,0.7321844208763841,-0.8041269849629784,-0.6135611900419423,False,qrc_m,-0.5947772321970167,False,False,1
mackey_glass_tau39_s472:1572:800,0.5963175408291409,0.9164682625642933,0.6177834579583595,0.5116520890949676,0.5564199365917585,0.43801867316409626,0.8535031713942279,0.7044226888119846,-0.29708323480246945,-0.2664040156478883,False,0.9664348590685613,0.7930853101099662,-0.4100149224768028,-0.35506663694586993,False,0.9550345135104964,0.7771797531981681,-0.3986145769187379,-0.33916108003407186,False,qrc_m,-0.29708323480246945,False,False,1
mackey_glass_tau20_s476:1576:800,0.44927092000762364,0.13923410424278942,0.11858677713489192,0.09702845459591185,0.021322213477526965,0.01725064338924156,0.24889784498872328,0.1831948084685974,-0.2275756315111963,-0.16594416507935583,False,0.7844448492237769,0.6575320426949666,-0.7631226357462499,-0.640281399305725,False,0.8916342062584327,0.7495365501707558,-0.8703119927809058,-0.7322859067815143,False,qrc_m,-0.2275756315111963,False,False,1
mackey_glass_tau45_s498:1598:800,0.9369707954874797,1.2293816375149225,1.2579448016172758,1.0688803639817215,0.7559999997210493,0.60724412390856,0.9840525146997244,0.8201811394821875,-0.22805251497867518,-0.21293701557362754,False,1.2841825064228183,1.137942295770453,-0.528182506701769,-0.530698171861893,False,0.9938605371970757,0.8120706934017399,-0.23786053747602642,-0.2048265694931799,False,qrc_m,-0.22805251497867518,False,False,1
lorenz63_rho36.70_s005:1205:800,1.0891665655185006,0.8963412087905626,1.0235213584185359,0.8606275294489917,0.9621088602003636,0.6670863814189445,1.2611534023658824,0.9684778361253018,-0.2990445421655188,-0.3013914547063573,False,1.005363993556532,0.8597072939263332,-0.043255133356168374,-0.19262091250738866,False,0.9347447304535325,0.8287228042867976,0.027364129746831112,-0.16163642286785307,False,qrc_d,0.027364129746831112,True,False,1
lorenz63_rho41.82_s011:1211:800,0.9714668553431977,0.5471977998336415,0.872547188017823,0.7313043686295222,0.5038300289331836,0.36529960470035777,0.8504360470952623,0.6914890334410899,-0.3466060181620787,-0.32618942874073215,False,0.9267188757659309,0.7195329776981746,-0.4228888468327473,-0.3542333729978168,False,1.0500538236574217,0.8768051533414495,-0.5462237947242381,-0.5115055486410918,False,qrc_m,-0.3466060181620787,False,False,1
lorenz63_rho35.33_s020:1220:800,0.970906938714942,0.8482643091653848,0.9918114277605121,0.8322886164997881,0.9466629625707654,0.795641267485074,0.8711524573748706,0.7019033176117015,0.07551050519589486,0.09373794987337247,True,0.912063457014234,0.7447271194936184,0.03459950555653146,0.05091414799145566,False,1.0988026802663533,0.8922069400056896,-0.15213971769558787,-0.09656567252061554,False,qrc_m,0.07551050519589486,True,True,1
lorenz63_rho40.79_s026:1226:800,1.005166630345959,0.5591231101080065,1.0504306123999125,0.8423505513859741,0.8330746558595412,0.5894627501368678,1.276185219217564,1.0926494803255873,-0.4431105633580228,-0.5031867301887195,False,0.7316931377208342,0.572646111267178,0.101381518138707,0.01681663886968976,True,1.0702294187508132,0.8572924866536874,-0.23715476289127202,-0.2678297365168196,False,qrc_e,0.101381518138707,True,True,1
lorenz63_rho30.61_s034:1234:800,1.2545687513696244,1.0251262706918776,1.2217493246649715,0.8947962072250668,1.8289925499380524,1.246806941343901,1.3262430529972193,1.0016217514403771,0.502749496940833,0.24518518990352378,True,1.0766333979362326,0.8953740723900606,0.7523591520018198,0.3514328689538403,True,1.2630211168365097,0.9860695535151492,0.5659714331015426,0.26073738782875167,True,qrc_e,0.7523591520018198,True,True,1
