source_index,name,family,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_J1,nrmse_qrc_J0,advantage_J1_vs_esn,advantage_J0_vs_esn,paired_delta_J0_minus_J1,paired_effect_J1_better,feature_dim,n_qubits,depth,virtual_nodes,matched_qrc_seeds
72,logistic_r3.6714_s012,chaotic_map,forecast,1412,800,186,0.5733013932859203,0.5991977857575257,0.5473693879432971,-0.025896392471605356,0.025932005342623188,-0.051828397814228544,-0.051828397814228544,60,6,5,5,0
73,logistic_r3.7042_s013,chaotic_map,forecast,1413,800,4,0.8451598201724245,0.617085250453941,0.5834949621717086,0.2280745697184835,0.2616648580007159,-0.03359028828223243,-0.03359028828223243,60,6,5,5,0
74,logistic_r3.8803_s014,chaotic_map,forecast,1414,800,2,0.8879097300704086,0.6325091718239517,0.19661298435470692,0.2554005582464569,0.6912967457157018,-0.4358961874692448,-0.4358961874692448,60,6,5,5,0
75,logistic_r3.8526_s015,chaotic_map,forecast,1415,800,148,0.0421545645508689,0.15092146283820237,0.04646650640340494,-0.10876689828733348,-0.0043119418525360415,-0.10445495643479744,-0.10445495643479744,60,6,5,5,0
76,logistic_r3.7406_s016,chaotic_map,forecast,1416,800,2,2.4298908468159036e-08,0.17122515651457612,2.8254868614893693e-09,-0.17122513221566765,2.1473421606669668e-08,-0.17122515368908925,-0.17122515368908925,60,6,5,5,0
77,logistic_r3.9014_s017,chaotic_map,forecast,1417,800,2,0.9343437858958294,0.6772555739558862,0.24418148825348893,0.25708821193994325,0.6901622976423405,-0.43307408570239725,-0.43307408570239725,60,6,5,5,0
78,logistic_r3.6964_s018,chaotic_map,forecast,1418,800,7,0.9544664574217157,0.8739132721674707,0.8928181060750611,0.08055318525424493,0.061648351346654584,0.018904833907590346,0.018904833907590346,60,6,5,5,0
79,logistic_r3.8078_s019,chaotic_map,forecast,1419,800,2,0.9655200115626092,0.5810261882502271,0.23003822181210234,0.38449382331238213,0.7354817897505069,-0.3509879664381248,-0.3509879664381248,60,6,5,5,0
80,henon_a1.124_s000,chaotic_map,forecast,1500,800,186,0.5448361559950299,0.5538822722512813,0.5155163902268778,-0.009046116256251402,0.029319765768152095,-0.0383658820244035,-0.0383658820244035,60,6,5,5,0
81,henon_a1.224_s001,chaotic_map,forecast,1501,800,2,0.7489753400570789,0.5626343616323686,0.6219151108688328,0.1863409784247103,0.1270602291882461,0.0592807492364642,0.0592807492364642,60,6,5,5,0
82,henon_a1.010_s002,chaotic_map,forecast,1502,800,186,9.770691430430762e-07,0.01156786383252272,5.589475853584812e-10,-0.011566886763379677,9.765101954577177e-07,-0.011567863273575134,-0.011567863273575134,60,6,5,5,0
83,henon_a1.194_s003,chaotic_map,forecast,1503,800,7,0.8352660382294204,0.8733039415398838,0.8797478835562129,-0.03803790331046342,-0.04448184532679256,0.0064439420163291405,0.0064439420163291405,60,6,5,5,0
84,henon_a1.399_s004,chaotic_map,forecast,1504,800,1,0.8319022707619081,0.5685838719061059,0.4476087678594646,0.2633183988558022,0.3842935029024436,-0.12097510404664136,-0.12097510404664136,60,6,5,5,0
85,henon_a1.252_s005,chaotic_map,forecast,1505,800,2,8.459219192070076e-08,0.010842858587870815,0.37002193696946495,-0.010842773995678893,-0.37002185237727303,0.35917907838159413,0.35917907838159413,60,6,5,5,0
86,henon_a1.032_s006,chaotic_map,forecast,1506,800,186,1.0906471791797894e-06,0.04527716667518219,0.02512654191809466,-0.04527607602800301,-0.02512545127091548,-0.020150624757087527,-0.020150624757087527,60,6,5,5,0
87,henon_a1.339_s007,chaotic_map,forecast,1507,800,2,0.877403479201269,0.7451636241877941,0.5950516022612677,0.1322398550134749,0.2823518769400013,-0.1501120219265264,-0.1501120219265264,60,6,5,5,0
88,henon_a1.079_s008,chaotic_map,forecast,1508,800,186,0.1636985672205634,0.23900440072346274,0.17755335879534034,-0.07530583350289935,-0.013854791574776953,-0.061451041928122396,-0.061451041928122396,60,6,5,5,0
89,henon_a1.360_s009,chaotic_map,forecast,1509,800,1,0.7767432125693978,0.4725555906046347,0.45268644543421743,0.3041876219647631,0.3240567671351804,-0.01986914517041727,-0.01986914517041727,60,6,5,5,0
90,henon_a1.047_s010,chaotic_map,forecast,1510,800,186,1.150441034034418e-06,0.07076795323263387,0.04394231179955929,-0.07076680279159983,-0.04394116135852526,-0.026825641433074573,-0.026825641433074573,60,6,5,5,0
91,henon_a1.295_s011,chaotic_map,forecast,1511,800,2,0.7412030342225374,0.6258375101977841,0.6284001720058563,0.11536552402475331,0.11280286221668112,0.0025626618080721864,0.0025626618080721864,60,6,5,5,0
92,henon_a1.351_s012,chaotic_map,forecast,1512,800,2,0.9056521209731546,0.7239049371765197,0.6546069756337907,0.1817471837966349,0.25104514533936395,-0.06929796154272905,-0.06929796154272905,60,6,5,5,0
93,henon_a1.101_s013,chaotic_map,forecast,1513,800,186,2.3605898079192204e-06,0.04388096815787525,0.42092964245443076,-0.04387860756806733,-0.42092728186462286,0.37704867429655553,0.37704867429655553,60,6,5,5,0
94,henon_a1.082_s014,chaotic_map,forecast,1514,800,186,0.1613093700542259,0.26963392807165015,0.21699969077302042,-0.10832455801742424,-0.05569032071879451,-0.05263423729862973,-0.05263423729862973,60,6,5,5,0
