dataset_id,name,family,source,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_spin,qrc_advantage,actual_usefulness_label,predicted_qrc_advantage,predicted_usefulness_label,predicted_prob_qrc_useful,property_pc1,property_pc2,abs_prediction_error,prediction_correct_label
lorenz63_rho38.13_s010:1210:800,lorenz63_rho38.13_s010,chaotic_flow,synthetic,forecast,1210,800,18,0.9556874147643448,1.0551125384186983,-0.0994251236543536,baseline_preferred,-0.3361144600228061,baseline_preferred,0.009639556346003499,-2.67845824818425,-0.9000587023621616,0.2366893363684525,True
lorenz63_rho45.82_s011:1211:800,lorenz63_rho45.82_s011,chaotic_flow,synthetic,forecast,1211,800,12,0.207756466146039,0.955897862644386,-0.748141396498347,baseline_preferred,-0.6535688337936058,baseline_preferred,0.008353747045244936,-1.8014448390193363,-0.7282805717836613,0.09457256270474124,True
lorenz63_rho37.08_s012:1212:800,lorenz63_rho37.08_s012,chaotic_flow,synthetic,forecast,1212,800,15,0.984496282863763,1.1343315895892208,-0.1498353067254577,baseline_preferred,-0.3427580913884204,baseline_preferred,0.014429021786372252,-2.2430576526240307,-0.8545004243722997,0.1929227846629627,True
lorenz63_rho32.00_s013:1213:800,lorenz63_rho32.00_s013,chaotic_flow,synthetic,forecast,1213,800,14,0.5802364348767485,1.0378655584707046,-0.4576291235939561,baseline_preferred,-0.558172585435328,baseline_preferred,0.0037141510168495397,-2.215875438002525,-0.5368080471453044,0.10054346184137192,True
lorenz63_rho39.49_s014:1214:800,lorenz63_rho39.49_s014,chaotic_flow,synthetic,forecast,1214,800,14,0.3243767873417696,1.0166732576202815,-0.692296470278512,baseline_preferred,-0.6388382516693836,baseline_preferred,0.016857449038249005,-2.271908612740959,-1.0066840716813745,0.05345821860912847,True
lorenz63_rho26.04_s015:1215:800,lorenz63_rho26.04_s015,chaotic_flow,synthetic,forecast,1215,800,14,0.0608630275302659,0.9665251215889435,-0.9056620940586776,baseline_preferred,-0.7765977231074341,baseline_preferred,0.011466302781462635,-2.414871095202458,-0.9956267301398604,0.12906437095124346,True
lorenz63_rho32.84_s016:1216:800,lorenz63_rho32.84_s016,chaotic_flow,synthetic,forecast,1216,800,13,0.1124000973892649,0.9182901672722844,-0.8058900698830194,baseline_preferred,-0.6459383354792857,baseline_preferred,0.004197819435390045,-2.7104986699923828,-0.9768541026977295,0.15995173440373367,True
lorenz63_rho34.38_s017:1217:800,lorenz63_rho34.38_s017,chaotic_flow,synthetic,forecast,1217,800,13,0.2547795642625679,1.003503991143727,-0.7487244268811588,baseline_preferred,-0.7696407372544619,baseline_preferred,0.010692674918959788,-2.272047422616333,-0.9852874663264207,0.020916310373303104,True
lorenz63_rho41.93_s018:1218:800,lorenz63_rho41.93_s018,chaotic_flow,synthetic,forecast,1218,800,12,1.2256041569044518,1.0360575765635245,0.1895465803409275,qrc_useful,-0.05211950523002316,baseline_preferred,0.8397994592930803,-2.530553412872299,-1.1722984151660933,0.24166608557095065,False
lorenz63_rho22.98_s019:1219:800,lorenz63_rho22.98_s019,chaotic_flow,synthetic,forecast,1219,800,7,0.0003041622944368,0.9931149211869608,-0.992810758892524,baseline_preferred,-1.0130184933198552,baseline_preferred,0.0013380864125009026,-1.8249914935342308,-0.007842323674410408,0.020207734427331148,True
