dataset_id,name,family,source,task_type,params,seed,length,horizon,base_generator,ac_timescale,ami_first_min,mem_capacity,r2_linear,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_gbm,predictability_gap_linear_gbm,ext_volatility_ac1,ext_arch_lm5,ext_recurrence_rate,ext_recurrence_determinism,ext_psd_slope,ext_spectral_centroid,ext_trend_strength,ext_changepoint_count,ext_lz_complexity,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage
quasi_periodic3_s013:2013:800,quasi_periodic3_s013,oscillatory,synthetic,forecast,"{'generator': 'quasi_periodic', 'n_freqs': 3}",2013,800,5,quasi_periodic,5.0,6.0,,0.9999999238833676,-0.0257136028516524,14.716745503446573,0.3375921822731877,0.993780787659839,0.3015286244382269,0.0321428571428571,2.1404504908993767e-10,0.001,0.9227431204067784,0,0.6636265277845125,0.4331693209236295,0.5882004009444297,0.4300502196285687,0.6984713755617731,0.1603548532732481,-0.39679257005159907,0.8986853451126521,794.9943031872604,0.0997200351392845,0.760744277951589,-7.208384265813256,0.0396404268227501,2.397973948298215e-06,1.0,1.096988641586875,1.6700151696181745e-08,0.0139776844299062,0.4171907170212026,0.3967925867517508,-0.4032130325912963
quasi_periodic4_s014:2014:800,quasi_periodic4_s014,oscillatory,synthetic,forecast,"{'generator': 'quasi_periodic', 'n_freqs': 4}",2014,800,5,quasi_periodic,5.0,6.0,,0.9999929003500234,-0.0481439932534171,11.500763317270346,0.3201684793819207,0.5621759024982582,0.3593606129970354,0.0517857142857142,2.111590441415473e-10,0.001,0.9258231133716104,0,0.6145541023255814,0.4582446115940912,0.6146785557592398,0.4506383726881294,0.6406393870029645,0.2194335728720511,-0.3719847837219912,0.8905142753207846,794.9891619122827,0.0997200351392845,0.7625555738514738,-7.2731279636178545,0.0437070039978401,1.551638455610238e-05,0.0,1.1210982820613118,1.263942763328071e-05,0.0347319712757886,0.3639580843660009,0.3719974231496245,-0.3292261130902122
quasi_periodic5_s015:2015:800,quasi_periodic5_s015,oscillatory,synthetic,forecast,"{'generator': 'quasi_periodic', 'n_freqs': 5}",2015,800,5,quasi_periodic,5.0,5.0,,0.9999995772327386,-0.0423943553350676,12.090311530955743,0.3764785972892263,0.9285505417785052,0.4042114593459076,0.0517857142857142,3.1403719285139924e-10,0.001,0.9346671334007232,0,0.5744073885149785,0.4708489855307378,0.621192693968291,0.4204652462723971,0.5957885406540924,0.2058999225408526,-0.4107150529791659,0.8695780709098746,794.9743460213238,0.0997200351392845,0.7783632471595587,-7.319234918176176,0.0469823215713123,4.7807999712379257e-05,0.0,1.1452079225357488,0.0002208415995234,0.0417400637019132,0.4145718936747261,0.4109358945786893,-0.3728318299728128
quasi_periodic2_s016:2016:800,quasi_periodic2_s016,oscillatory,synthetic,forecast,"{'generator': 'quasi_periodic', 'n_freqs': 2}",2016,800,5,quasi_periodic,5.0,6.0,,0.9999999999987316,-0.020379012061668,18.864231320967072,0.323162901545844,0.9921777877430552,0.2768589849309441,0.0464285714285714,1.1027833197345632e-10,0.001,0.9322109882495676,0,0.7005761827742554,0.4497347534271764,0.5587105319577548,0.4499676239666999,0.7231410150690559,0.1427550771879456,-0.3528865863746471,0.9016683349584252,794.9948940049737,0.0997200351392845,0.7760579614687964,-7.177735931300077,0.0393076680617774,6.2689858633113715e-06,0.0,1.0608241808752197,3.99865294428625e-11,0.0004154492924239,0.0993142967047967,0.3528865864146336,-0.0988988474123728
quasi_periodic3_s017:2017:800,quasi_periodic3_s017,oscillatory,synthetic,forecast,"{'generator': 'quasi_periodic', 'n_freqs': 3}",2017,800,5,quasi_periodic,5.0,6.0,,0.9999999238833676,-0.0257136028516524,14.716745503446573,0.3375921822731877,0.9815272904947888,0.3015286244382269,0.0321428571428571,2.1404504908993767e-10,0.001,0.9227431204067784,0,0.6636265277845125,0.4331693209236295,0.5882004009444297,0.4300502196285687,0.6984713755617731,0.160354853273248,-0.39679257005159907,0.8986853451126521,794.9943031872604,0.0997200351392845,0.760744277951589,-7.208384265813256,0.0396404268227501,2.397973948298215e-06,1.0,1.096988641586875,1.6700151696181745e-08,0.0139776844299062,0.4171907170212026,0.3967925867517508,-0.4032130325912963
quasi_periodic4_s018:2018:800,quasi_periodic4_s018,oscillatory,synthetic,forecast,"{'generator': 'quasi_periodic', 'n_freqs': 4}",2018,800,5,quasi_periodic,5.0,6.0,,0.9999929003500234,-0.0481439932534171,11.500763317270346,0.3201684793819207,0.9051939666262816,0.3593606129970354,0.0517857142857142,2.111590441415473e-10,0.001,0.9258231133716104,0,0.6145541023255814,0.4582446115940912,0.6146785557592398,0.4506383726881294,0.6406393870029645,0.2194335728720511,-0.3720241490520075,0.8905142753207846,794.9891619122827,0.0997200351392845,0.7625555738514738,-7.2731279636178545,0.0437070039978401,1.551638455610238e-05,0.0,1.1210982820613118,1.263942763328071e-05,0.0347319712757886,0.3639580843660009,0.3720367884796408,-0.3292261130902122
quasi_periodic5_s019:2019:800,quasi_periodic5_s019,oscillatory,synthetic,forecast,"{'generator': 'quasi_periodic', 'n_freqs': 5}",2019,800,5,quasi_periodic,5.0,5.0,,0.9999995772327386,-0.0423943553350676,12.090311530955743,0.3764785972892263,0.9948407216456,0.4042114593459076,0.0517857142857142,3.1403719285139924e-10,0.001,0.9346671334007232,0,0.5744073885149785,0.4708489855307378,0.621192693968291,0.4204652462723971,0.5957885406540924,0.2058999225408526,-0.4107150529791659,0.8695780709098746,794.9743460213238,0.0997200351392845,0.7783632471595587,-7.319234918176176,0.0469823215713123,4.7807999712379257e-05,0.0,1.1452079225357488,0.0002208415995234,0.0417400637019132,0.4145718936747261,0.4109358945786893,-0.3728318299728128
ar1_s000:2100:800,ar1_s000,linear_stochastic,synthetic,forecast,"{'generator': 'ar', 'phi': [0.24653103717861777]}",2100,800,1,ar,1.0,3.0,,-0.0220166030046529,-0.0091346851097853,-0.7882930574855117,0.140427120365384,0.9971340779031042,0.925225992750098,0.0999999999999999,0.5419844357327631,0.001,0.2610483178800079,0,0.6033797467664007,0.9928491533955394,2.213533315378143,0.6716199705300206,0.0747740072499019,1.0154561970436926,-0.02157510311415578,0.1366626498280648,4.367002012604981,0.0997200351392845,0.5203359130577968,-0.3685012608354948,0.2039518442754911,0.0004874623640939,3.0,1.7358941141594506,0.966990450999428,0.9503532923397808,0.9767912732408708,0.9885655541135838,-0.0264379809010901
ar1_s001:2101:800,ar1_s001,linear_stochastic,synthetic,forecast,"{'generator': 'ar', 'phi': [0.02127892446046209]}",2101,800,1,ar,1.0,3.0,,-0.0287920141280051,-0.0160163560295396,-0.7292327399418518,0.13411885152005,0.9968442230073872,0.9188250767868634,0.1303571428571428,0.5569919967146981,0.001,0.9214532059821332,0,0.4159113451349409,0.9944410638854192,2.209963603113649,0.4950773927809798,0.0811749232131365,1.022158681495953,-0.010717567034555175,0.1601192416338651,1.5663560759448083,0.0997200351392845,0.4961304133047917,0.1385878212585849,0.2636855064191218,1.774590173209134e-05,6.0,1.7238392939222322,1.0064275088107428,0.998742221540744,1.0092331280905784,1.017145075845298,-0.0104909065498344
ar3_s002:2102:800,ar3_s002,linear_stochastic,synthetic,forecast,"{'generator': 'ar', 'phi': [-0.4052593717761621, -0.34256505619599037, 0.5341837590102765]}",2102,800,5,ar,5.0,2.0,,0.7052552506841925,-0.0005194609427354,4.47740636889981,0.1909589019162241,0.9878537010239088,0.6218331674209602,0.3374999999999999,0.0946932035685204,0.001,0.8779676072291028,0,0.2512727556538129,0.8963804700837343,1.6330023593613658,0.3473950134005336,0.3781668325790398,0.5433821953823506,-0.031231318991111423,0.1843626794698799,417.39371650267753,0.0997200351392845,0.5249464844393216,0.4584245332520795,0.3274724390525975,1.5774532843515487e-05,9.0,1.4345236082289905,0.5116052357572016,0.4992741680830888,0.5683465328135087,0.542836554748313,-0.0690723647304198
